name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
AD Mascarenhas,2,2,8.0,0,65,4,2/31,16.25,8.12,12.0
AD Mathews,14,12,37.3,0,314,8,4/19,39.25,8.37,28.1
BAW Mendis,2,2,8.0,0,66,2,2/22,33.00,8.25,24.0
A Mishra,14,14,53.0,0,363,17,3/25,21.35,6.84,18.7
MD Mishra,11,0,0,0,0,0,0,0,0,0
A Mithun,1,1,3.0,0,39,1,1/39,39.00,13.00,18.0
EJG Morgan,6,0,0,0,0,0,0,0,0,0
JA Morkel,14,14,47.4,1,405,11,2/23,36.81,8.49,26.0
M Morkel,2,2,7.0,0,66,0,0,0,9.42,0
M Muralitharan,12,12,48.0,0,329,15,3/16,21.93,6.85,19.2
AG Murtaza,3,3,12.0,0,91,3,2/18,30.33,7.58,24.0
Y Nagar,1,1,3.0,0,28,1,1/28,28.00,9.33,18.0
DP Nannes,9,9,34.1,0,224,7,2/12,32.00,6.55,29.2
S Narwal,5,5,15.4,0,185,5,3/36,37.00,11.80,18.8
AM Nayar,3,0,0,0,0,0,0,0,0,0
A Nehra,4,4,14.0,0,96,6,3/26,16.00,6.85,14.0
NV Ojha,14,0,0,0,0,0,0,0,0,0
PP Ojha,16,16,58.5,0,429,21,3/26,20.42,7.29,16.8
MK Pandey,13,0,0,0,0,0,0,0,0,0
Pankaj Singh,2,2,8.0,1,81,2,2/27,40.50,10.12,24.0
MB Parmar,1,1,3.0,0,33,0,0,0,11.00,0
MM Patel,4,4,13.0,0,118,3,1/20,39.33,9.07,26.0
PA Patel,4,0,0,0,0,0,0,0,0,0
IK Pathan,14,14,46.2,0,426,15,3/24,28.40,9.19,18.5
YK Pathan,14,11,34.0,0,246,5,2/9,49.20,7.23,40.8
AG Paunikar,1,0,0,0,0,0,0,0,0,0
NLTC Perera,1,1,1.0,0,19,0,0,0,19.00,0
KP Pietersen,7,6,10.0,0,77,3,1/10,25.66,7.70,20.0
KA Pollard,14,12,37.0,0,274,15,3/17,18.26,7.40,14.8
RR Powar,7,7,23.0,0,160,3,2/28,53.33,6.95,46.0
CA Pujara,10,0,0,0,0,0,0,0,0,0
SK Raina,16,12,23.5,0,178,6,1/0,29.66,7.46,23.8
AS Raut,6,0,0,0,0,0,0,0,0,0
AT Rayudu,14,0,0,0,0,0,0,0,0,0
KAJ Roach,2,2,8.0,0,80,0,0,0,10.00,0
WP Saha,13,0,0,0,0,0,0,0,0,0
KC Sangakkara,13,0,0,0,0,0,0,0,0,0
PJ Sangwan,8,8,31.0,0,258,9,3/22,28.66,8.32,20.6
R Sathish,12,4,8.0,0,81,2,1/11,40.50,10.12,24.0
V Sehwag,14,3,5.4,0,23,3,2/18,7.66,4.05,11.3
OA Shah,5,0,0,0,0,0,0,0,0,0
I Sharma,7,7,25.0,0,236,7,2/33,33.71,9.44,21.4
R Sharma,6,6,20.4,0,167,5,2/42,33.40,8.08,24.8
RG Sharma,16,9,19.0,0,153,2,1/19,76.50,8.05,57.0
LR Shukla,4,4,12.0,0,106,3,1/30,35.33,8.83,24.0
RP Singh,12,12,42.0,0,370,13,3/17,28.46,8.80,19.3
VRV Singh,1,1,3.0,0,40,0,0,0,13.33,0
DR Smith,3,2,3.5,0,36,1,1/22,36.00,9.39,23.0
GC Smith,2,0,0,0,0,0,0,0,0,0
RS Sodhi,3,0,0,0,0,0,0,0,0,0
S Sohal,1,0,0,0,0,0,0,0,0,0
S Sreesanth,6,6,19.0,0,191,3,2/24,63.66,10.05,38.0
S Sriram,1,1,2.0,0,24,0,0,0,12.00,0
SJ Srivastava,8,8,27.0,0,255,6,2/23,42.50,9.44,27.0
DW Steyn,15,15,59.0,1,406,15,3/18,27.06,6.88,23.6
TL Suman,14,2,2.0,0,24,0,0,0,12.00,0
B Sumanth,5,0,0,0,0,0,0,0,0,0
A Symonds,16,16,53.0,0,372,12,3/21,31.00,7.01,26.5
SW Tait,8,8,31.1,0,264,10,3/22,26.40,8.47,18.7
AP Tare,7,0,0,0,0,0,0,0,0,0
LRPL Taylor,7,0,0,0,0,0,0,0,0,0
SR Tendulkar,15,0,0,0,0,0,0,0,0,0
J Theron,7,7,24.0,0,187,6,2/17,31.16,7.79,24.0
T Thushara,4,4,14.3,0,101,5,2/16,20.20,6.96,17.4
MK Tiwary,13,1,1.0,0,11,1,1/11,11.00,11.00,6.0
SS Tiwary,16,0,0,0,0,0,0,0,0,0
SK Trivedi,11,10,35.3,0,260,11,3/16,23.63,7.32,19.3
S Tyagi,6,6,15.5,0,159,1,1/20,159.00,10.04,95.0
JD Unadkat,3,3,10.2,0,85,4,3/26,21.25,8.22,15.5
A Uniyal,2,2,6.0,0,66,2,2/41,33.00,11.00,18.0
RV Uthappa,16,0,0,0,0,0,0,0,0,0
WPUJC Vaas,6,6,22.0,2,139,9,3/21,15.44,6.31,14.6
RE van der Merwe,1,1,4.0,0,27,2,2/27,13.50,6.75,12.0
Y Venugopal Rao,6,1,1.0,0,10,0,0,0,10.00,0
DL Vettori,3,3,11.4,0,97,2,1/30,48.50,8.31,35.0
M Vijay,15,0,0,0,0,0,0,0,0,0
R Vinay Kumar,14,14,46.1,0,396,16,4/40,24.75,8.57,17.3
AC Voges,9,7,9.0,0,76,0,0,0,8.44,0
SB Wagh,1,1,1.0,0,16,1,1/16,16.00,16.00,6.0
SK Warne,14,14,50.0,0,381,11,4/21,34.63,7.62,27.2
DA Warner,11,0,0,0,0,0,0,0,0,0
SR Watson,6,6,22.0,0,184,6,3/37,30.66,8.36,22.0
CL White,7,1,1.0,0,19,0,0,0,19.00,0
UT Yadav,7,7,24.0,0,184,6,2/24,30.66,7.66,24.0
Yuvraj Singh,14,10,23.0,0,152,5,2/21,30.40,6.60,27.6
