name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
B Kumar,16,16,57.0,2,371,13,3/18,28.53,6.50,26.3
P Kumar,15,15,56.2,3,373,12,2/10,31.08,6.62,28.1
B Laughlin,2,2,7.0,0,71,1,1/25,71.00,10.14,42.0
B Lee,3,3,12.0,0,86,4,2/40,21.50,7.16,18.0
BB McCullum,1,0,0,0,0,0,0,0,0,0
AB McDonald,1,1,2.0,0,17,1,1/17,17.00,8.50,12.0
R McLaren,2,2,7.0,0,94,3,2/60,31.33,13.42,14.0
VS Malik,3,3,10.0,0,59,2,2/14,29.50,5.90,30.0
SL Malinga,17,17,65.2,0,468,20,3/39,23.40,7.16,19.6
Mandeep Singh,16,0,0,0,0,0,0,0,0,0
M Manhas,3,0,0,0,0,0,0,0,0,0
MR Marsh,9,7,19.2,0,182,7,2/7,26.00,9.41,16.5
SE Marsh,8,0,0,0,0,0,0,0,0,0
AD Mascarenhas,1,1,4.0,0,25,0,0,0,6.25,0
AD Mathews,11,10,31.0,0,240,5,3/14,48.00,7.74,37.2
GJ Maxwell,3,2,2.0,0,23,0,0,0,11.50,0
AL Menaria,1,0,0,0,0,0,0,0,0,0
BAW Mendis,3,3,12.0,0,78,2,1/15,39.00,6.50,36.0
BMAJ Mendis,3,2,5.0,0,36,1,1/16,36.00,7.20,30.0
DA Miller,12,0,0,0,0,0,0,0,0,0
A Mishra,17,17,62.0,1,394,21,4/19,18.76,6.35,17.7
A Mithun,1,1,4.0,0,37,1,1/37,37.00,9.25,24.0
Mohammed Shami,3,3,9.0,0,78,1,1/32,78.00,8.66,54.0
EJG Morgan,14,0,0,0,0,0,0,0,0,0
JA Morkel,8,7,24.0,0,159,7,3/32,22.71,6.62,20.5
M Morkel,10,10,40.0,0,335,7,2/27,47.85,8.37,34.2
CH Morris,16,16,50.0,0,401,15,3/40,26.73,8.02,20.0
A Mukund,1,0,0,0,0,0,0,0,0,0
M Muralitharan,6,6,23.0,0,177,3,1/18,59.00,7.69,46.0
AG Murtaza,3,3,10.0,0,94,3,3/15,31.33,9.40,20.0
S Nadeem,12,12,44.0,1,259,9,2/17,28.77,5.88,29.3
KK Nair,2,0,0,0,0,0,0,0,0,0
DP Nannes,5,5,19.5,0,158,4,2/17,39.50,7.96,29.7
SP Narine,16,16,64.0,1,350,22,4/13,15.90,5.46,17.4
S Narwal,2,1,2.0,0,17,0,0,0,8.50,0
AM Nayar,11,3,8.0,0,59,2,1/15,29.50,7.37,24.0
P Negi,1,1,4.0,0,28,0,0,0,7.00,0
A Nehra,10,10,36.0,0,316,11,2/35,28.72,8.77,19.6
MG Neser,1,1,4.0,0,62,0,0,0,15.50,0
NV Ojha,2,0,0,0,0,0,0,0,0,0
PP Ojha,16,15,52.2,0,381,16,3/11,23.81,7.28,19.6
JDP Oram,1,1,4.0,0,22,0,0,0,5.50,0
IC Pandey,2,2,4.0,0,50,1,1/17,50.00,12.50,24.0
MK Pandey,7,0,0,0,0,0,0,0,0,0
WD Parnell,4,4,14.5,0,137,6,3/27,22.83,9.23,14.8
Parvez Rasool,2,2,5.0,0,28,1,1/23,28.00,5.60,30.0
MM Patel,4,4,15.0,0,137,3,3/29,45.66,9.13,30.0
PA Patel,13,0,0,0,0,0,0,0,0,0
IK Pathan,15,15,51.2,3,382,10,2/29,38.20,7.44,30.8
YK Pathan,16,5,9.0,0,73,1,1/9,73.00,8.11,54.0
MDKJ Perera,2,0,0,0,0,0,0,0,0,0
NLTC Perera,16,16,59.4,0,478,19,3/20,25.15,8.01,18.8
KA Pollard,18,14,31.0,0,292,10,2/6,29.20,9.41,18.6
LA Pomersbach,3,0,0,0,0,0,0,0,0,0
RT Ponting,6,0,0,0,0,0,0,0,0,0
CA Pujara,4,0,0,0,0,0,0,0,0,0
AM Rahane,18,0,0,0,0,0,0,0,0,0
KL Rahul,5,0,0,0,0,0,0,0,0,0
SK Raina,18,2,2.0,0,23,1,1/4,23.00,11.50,12.0
AS Rajpoot,2,2,4.0,0,35,1,1/25,35.00,8.75,24.0
R Rampaul,10,10,37.4,4,261,13,3/31,20.07,6.92,17.3
DB Ravi Teja,2,0,0,0,0,0,0,0,0,0
M Rawat,2,0,0,0,0,0,0,0,0,0
AT Rayudu,19,0,0,0,0,0,0,0,0,0
PA Reddy,7,0,0,0,0,0,0,0,0,0
KW Richardson,3,3,11.5,0,101,2,1/28,50.50,8.53,35.5
BJ Rohrer,8,1,1.0,0,12,0,0,0,12.00,0
AD Russell,3,3,7.0,0,68,0,0,0,9.71,0
Sachin Baby,4,0,0,0,0,0,0,0,0,0
WP Saha,3,0,0,0,0,0,0,0,0,0
BB Samantray,8,0,0,0,0,0,0,0,0,0
DJG Sammy,10,9,22.2,0,168,8,4/22,21.00,7.52,16.7
SV Samson,11,0,0,0,0,0,0,0,0,0
MN Samuels,2,1,4.0,0,34,1,1/34,34.00,8.50,24.0
Sandeep Sharma,4,4,16.0,1,119,8,3/21,14.87,7.43,12.0
KC Sangakkara,9,0,0,0,0,0,0,0,0,0
PJ Sangwan,2,2,4.0,0,51,0,0,0,12.75,0
R Sathish,9,3,4.0,0,51,0,0,0,12.75,0
V Sehwag,13,1,1.0,0,9,0,0,0,9.00,0
SMSM Senanayake,8,8,32.0,1,209,9,2/26,23.22,6.53,21.3
OA Shah,2,0,0,0,0,0,0,0,0,0
I Sharma,16,16,59.4,2,466,15,3/27,31.06,7.81,23.8
KV Sharma,13,13,34.5,1,230,11,2/19,20.90,6.60,19.0
MM Sharma,15,15,50.4,0,326,20,3/10,16.30,6.43,15.2
R Sharma,11,11,41.0,0,281,9,2/16,31.22,6.85,27.3
RG Sharma,19,2,1.2,0,6,0,0,0,4.50,0
LR Shukla,4,2,3.0,0,22,1,1/14,22.00,7.33,18.0
R Shukla,3,3,8.0,0,79,3,2/28,26.33,9.87,16.0
RP Singh,11,11,39.5,0,335,13,3/13,25.76,8.41,18.3
DR Smith,13,3,5.0,0,59,2,2/20,29.50,11.80,15.0
SPD Smith,7,0,0,0,0,0,0,0,0,0
S Sreesanth,7,7,21.4,2,163,5,2/20,32.60,7.52,26.0
DW Steyn,17,17,67.5,3,384,19,3/11,20.21,5.66,21.4
TL Suman,7,1,2.0,0,15,1,1/15,15.00,7.50,12.0
P Suyal,1,1,3.0,0,21,1,1/21,21.00,7.00,18.0
J Syed Mohammad,4,4,10.0,0,91,3,2/15,30.33,9.10,20.0
SW Tait,3,3,10.0,0,98,1,1/29,98.00,9.80,60.0
PV Tambe,3,3,11.0,0,88,1,1/38,88.00,8.00,66.0
AP Tare,5,0,0,0,0,0,0,0,0,0
LRPL Taylor,5,0,0,0,0,0,0,0,0,0
RN ten Doeschate,4,3,3.0,0,24,0,0,0,8.00,0
SR Tendulkar,14,0,0,0,0,0,0,0,0,0
X Thalaivan Sargunam,1,0,0,0,0,0,0,0,0,0
MK Tiwary,10,0,0,0,0,0,0,0,0,0
SS Tiwary,9,0,0,0,0,0,0,0,0,0
SK Trivedi,17,17,59.5,1,410,12,3/23,34.16,6.85,29.9
JD Unadkat,13,13,49.0,0,370,13,5/25,28.46,7.55,22.6
K Upadhyay,2,2,5.0,0,48,0,0,0,9.60,0
RV Uthappa,16,0,0,0,0,0,0,0,0,0
PC Valthaty,1,0,0,0,0,0,0,0,0,0
RE van der Merwe,3,3,11.0,1,71,3,1/17,23.66,6.45,22.0
Y Venugopal Rao,1,0,0,0,0,0,0,0,0,0
GH Vihari,17,5,6.0,0,38,1,1/5,38.00,6.33,36.0
M Vijay,15,0,0,0,0,0,0,0,0,0
R Vinay Kumar,16,16,60.1,0,493,23,3/18,21.43,8.19,15.6
M Vohra,12,0,0,0,0,0,0,0,0,0
DA Warner,16,0,0,0,0,0,0,0,0,0
SR Watson,16,13,41.4,0,298,13,3/22,22.92,7.15,19.2
CL White,13,2,2.0,0,16,1,1/14,16.00,8.00,12.0
LJ Wright,6,5,9.5,0,100,2,1/12,50.00,10.16,29.5
UT Yadav,16,16,57.5,0,508,16,4/24,31.75,8.78,21.6
DH Yagnik,12,0,0,0,0,0,0,0,0,0
Yuvraj Singh,13,10,22.0,0,152,6,2/27,25.33,6.90,22.0
