name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
VR Aaron,8,8,31.0,0,271,8,2/19,33.87,8.74,23.2
AB Agarkar,4,4,14.2,0,134,3,2/27,44.66,9.34,28.6
MA Agarwal,16,0,0,0,0,0,0,0,0,0
AN Ahmed,1,1,2.0,0,17,0,0,0,8.50,0
Anand Rajan,4,4,11.5,0,109,3,1/11,36.33,9.21,23.6
S Anirudha,4,0,0,0,0,0,0,0,0,0
Ankit Sharma,9,9,24.1,0,165,4,1/9,41.25,6.82,36.2
KP Appanna,7,6,17.0,0,148,6,4/19,24.66,8.70,17.0
S Aravind,1,1,3.0,0,48,0,0,0,16.00,0
KB Arun Karthik,1,0,0,0,0,0,0,0,0,0
A Ashish Reddy,9,9,27.1,0,237,11,3/25,21.54,8.72,14.8
R Ashwin,19,18,65.5,0,431,14,3/23,30.78,6.54,28.2
P Awana,12,12,47.0,0,372,17,4/34,21.88,7.91,16.5
Azhar Mahmood,11,11,42.4,0,329,14,3/20,23.50,7.71,18.2
S Badrinath,15,0,0,0,0,0,0,0,0,0
L Balaji,8,8,30.0,1,162,11,4/18,14.72,5.40,16.3
R Bhatia,17,16,53.1,0,389,13,2/14,29.92,7.31,24.5
RR Bhatkal,1,1,2.0,0,35,0,0,0,17.50,0
BA Bhatt,5,5,16.3,0,136,2,2/24,68.00,8.24,49.5
STR Binny,8,6,10.0,0,78,3,1/8,26.00,7.80,20.0
Bipul Sharma,5,3,7.4,0,79,0,0,0,10.30,0
MS Bisla,7,0,0,0,0,0,0,0,0,0
AC Blizzard,1,0,0,0,0,0,0,0,0,0
DE Bollinger,6,6,18.0,0,157,8,3/24,19.62,8.72,13.5
J Botha,11,11,41.0,0,297,9,2/21,33.00,7.24,27.3
DAJ Bracewell,1,1,4.0,0,32,3,3/32,10.66,8.00,8.0
DJ Bravo,19,18,57.4,0,462,15,2/10,30.80,8.01,23.0
UBT Chand,2,0,0,0,0,0,0,0,0,0
A Chandila,4,4,14.0,0,86,5,4/13,17.20,6.14,16.8
AA Chavan,8,8,27.2,0,236,7,2/23,33.71,8.63,23.4
PP Chawla,16,16,57.0,1,419,16,3/18,26.18,7.35,21.3
B Chipli,5,0,0,0,0,0,0,0,0,0
SD Chitnis,6,0,0,0,0,0,0,0,0,0
DT Christian,7,7,27.0,0,233,8,2/26,29.12,8.62,20.2
MJ Clarke,6,5,11.0,0,67,2,1/12,33.50,6.09,33.0
KK Cooper,6,6,24.0,1,174,10,4/26,17.40,7.25,14.4
DB Das,15,0,0,0,0,0,0,0,0,0
M de Lange,3,3,10.0,0,107,3,3/34,35.66,10.70,20.0
AB de Villiers,16,0,0,0,0,0,0,0,0,0
S Dhawan,15,4,6.0,0,55,3,1/8,18.33,9.16,12.0
MS Dhoni,19,0,0,0,0,0,0,0,0,0
TM Dilshan,10,5,7.0,0,77,0,0,0,11.00,0
AB Dinda,7,7,24.0,1,169,9,4/18,18.77,7.04,16.0
P Dogra,3,0,0,0,0,0,0,0,0,0
R Dravid,16,0,0,0,0,0,0,0,0,0
JP Duminy,9,6,12.0,0,104,1,1/8,104.00,8.66,72.0
F du Plessis,13,1,1.0,0,16,0,0,0,16.00,0
JP Faulkner,2,2,8.0,0,72,3,2/41,24.00,9.00,16.0
CJ Ferguson,4,0,0,0,0,0,0,0,0,0
AJ Finch,2,0,0,0,0,0,0,0,0,0
