name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
YA Abdulla,9,9,28.0,1,241,14,4/31,17.21,8.60,12.0
AB Agarkar,11,11,31.0,0,284,6,2/15,47.33,9.16,31.0
B Akhil,6,5,11.0,0,80,4,2/18,20.00,7.27,16.5
Anureet Singh,3,2,5.0,0,47,2,2/35,23.50,9.40,15.0
KP Appanna,5,5,12.0,0,87,2,1/24,43.50,7.25,36.0
R Ashwin,2,1,4.0,0,13,2,2/13,6.50,3.25,12.0
SA Asnodkar,8,0,0,0,0,0,0,0,0,0
S Badrinath,14,0,0,0,0,0,0,0,0,0
GJ Bailey,3,0,0,0,0,0,0,0,0,0
L Balaji,13,13,37.2,0,316,13,4/21,24.30,8.46,17.2
SB Bangar,1,0,0,0,0,0,0,0,0,0
R Bhatia,8,7,21.4,0,146,10,4/15,14.60,6.73,13.0
AA Bilakhia,6,0,0,0,0,0,0,0,0,0
R Bishnoi,3,0,0,0,0,0,0,0,0,0
RS Bopara,5,2,1.2,0,5,0,0,0,3.75,0
RR Bose,1,1,2.0,0,24,0,0,0,12.00,0
J Botha,3,3,12.0,0,74,3,2/19,24.66,6.16,24.0
MV Boucher,12,0,0,0,0,0,0,0,0,0
DJ Bravo,11,11,33.1,0,259,11,3/34,23.54,7.80,18.0
LA Carseldine,5,1,1.0,0,6,1,1/6,6.00,6.00,6.0
PP Chawla,14,14,44.5,1,308,12,2/22,25.66,6.86,22.4
SD Chitnis,1,0,0,0,0,0,0,0,0,0
A Chopra,2,0,0,0,0,0,0,0,0,0
AB de Villiers,15,0,0,0,0,0,0,0,0,0
S Dhawan,5,0,0,0,0,0,0,0,0,0
MS Dhoni,14,0,0,0,0,0,0,0,0,0
TM Dilshan,14,8,16.0,0,98,0,0,0,6.12,0
AB Dinda,9,8,24.0,0,193,4,1/24,48.25,8.04,36.0
R Dravid,13,0,0,0,0,0,0,0,0,0
JP Duminy,13,6,17.3,0,93,4,2/15,23.25,5.31,26.2
D du Preez,2,2,7.0,1,56,4,3/32,14.00,8.00,10.5
FH Edwards,6,6,23.2,1,154,5,2/27,30.80,6.60,28.0
A Flintoff,3,3,11.0,0,105,2,1/11,52.50,9.54,33.0
G Gambhir,15,0,0,0,0,0,0,0,0,0
SC Ganguly,13,6,12.0,0,97,2,2/24,48.50,8.08,36.0
CH Gayle,7,7,18.5,0,144,1,1/21,144.00,7.64,113.0
AN Ghosh,2,0,0,0,0,0,0,0,0,0
HH Gibbs,14,0,0,0,0,0,0,0,0,0
AC Gilchrist,16,0,0,0,0,0,0,0,0,0
K Goel,9,4,8.0,0,61,0,0,0,7.62,0
MS Gony,7,7,17.0,0,172,5,2/32,34.40,10.11,20.4
SP Goswami,2,0,0,0,0,0,0,0,0,0
Harbhajan Singh,13,13,44.0,0,256,12,4/17,21.33,5.81,22.0
Harmeet Singh,7,7,22.5,0,192,3,2/23,64.00,8.40,45.6
RJ Harris,8,8,31.0,2,230,6,3/27,38.33,7.41,31.0
SM Harwood,3,3,10.0,0,73,3,2/25,24.33,7.30,20.0
ML Hayden,12,0,0,0,0,0,0,0,0,0
T Henderson,2,2,6.0,0,40,1,1/30,40.00,6.66,36.0
MC Henriques,4,4,12.1,0,107,2,1/32,53.50,8.79,36.5
BJ Hodge,12,9,20.0,0,161,7,3/29,23.00,8.05,17.1
DJ Hussey,4,3,4.0,0,34,0,0,0,8.50,0
RA Jadeja,13,10,23.2,0,151,6,3/15,25.16,6.47,23.3
W Jaffer,2,0,0,0,0,0,0,0,0,0
