name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
SB Jakati,9,8,29.0,0,217,13,4/22,16.69,7.48,13.3
Jaskaran Singh,2,1,3.0,0,32,0,0,0,10.66,0
ST Jayasuriya,12,9,19.0,0,163,7,2/3,23.28,8.57,16.2
DPMD Jayawardene,10,0,0,0,0,0,0,0,0,0
Joginder Sharma,4,4,7.0,0,57,2,1/10,28.50,8.14,21.0
JH Kallis,15,14,46.0,1,353,6,2/18,58.83,7.67,46.0
Kamran Khan,5,5,17.4,0,124,6,3/18,20.66,7.01,17.6
KD Karthik,15,0,0,0,0,0,0,0,0,0
M Kartik,10,10,34.0,0,201,4,2/28,50.25,5.91,51.0
SM Katich,9,0,0,0,0,0,0,0,0,0
Z Khan,6,6,21.0,0,142,6,3/31,23.66,6.76,21.0
T Kohli,2,0,0,0,0,0,0,0,0,0
V Kohli,16,3,6.0,0,46,0,0,0,7.66,0
DS Kulkarni,8,8,26.0,0,206,5,1/21,41.20,7.92,31.2
P Kumar,13,13,49.4,1,394,13,3/30,30.30,7.93,22.9
A Kumble,16,16,59.1,1,347,21,5/5,16.52,5.86,16.9
CK Langeveldt,1,1,4.0,0,15,3,3/15,5.00,3.75,8.0
VVS Laxman,5,0,0,0,0,0,0,0,0,0
B Lee,5,5,20.0,1,111,5,3/15,22.20,5.55,24.0
BB McCullum,13,0,0,0,0,0,0,0,0,0
AB McDonald,1,1,3.0,0,22,0,0,0,7.33,0
MF Maharoof,3,3,10.0,0,65,4,2/27,16.25,6.50,15.0
VY Mahesh,1,1,2.0,0,25,1,1/25,25.00,12.50,12.0
VS Malik,5,5,12.0,0,98,2,1/12,49.00,8.16,36.0
SL Malinga,13,13,49.3,2,312,18,3/11,17.33,6.30,16.5
M Manhas,10,0,0,0,0,0,0,0,0,0
AD Mascarenhas,5,5,19.2,1,132,6,3/20,22.00,6.82,19.3
Mashrafe Mortaza,1,1,4.0,0,58,0,0,0,14.50,0
AD Mathews,1,1,2.2,0,31,0,0,0,13.28,0
BAW Mendis,4,4,16.0,0,117,3,2/19,39.00,7.31,32.0
A Mishra,11,11,42.0,1,294,14,3/14,21.00,7.00,18.0
A Mithun,1,1,4.0,0,42,0,0,0,10.50,0
Mohammad Ashraful,1,0,0,0,0,0,0,0,0,0
JA Morkel,12,12,40.0,1,328,13,2/13,25.23,8.20,18.4
M Morkel,2,2,7.0,0,40,0,0,0,5.71,0
WA Mota,8,5,9.0,0,61,3,1/6,20.33,6.77,18.0
M Muralitharan,13,13,50.0,1,261,14,3/11,18.64,5.22,21.4
Y Nagar,1,1,2.0,0,20,2,2/20,10.00,10.00,6.0
C Nanda,3,3,8.0,0,57,2,1/4,28.50,7.12,24.0
DP Nannes,13,13,49.3,0,372,15,3/27,24.80,7.51,19.8
GR Napier,1,1,4.0,0,27,1,1/27,27.00,6.75,24.0
AM Nayar,13,4,12.0,0,84,4,3/13,21.00,7.00,18.0
A Nehra,13,13,51.0,1,346,19,3/27,18.21,6.78,16.1
NV Ojha,8,0,0,0,0,0,0,0,0,0
PP Ojha,15,15,53.3,0,348,18,3/21,19.33,6.50,17.8
JDP Oram,11,7,15.3,0,133,5,2/12,26.60,8.58,18.6
MK Pandey,5,0,0,0,0,0,0,0,0,0
Pankaj Singh,3,3,7.0,0,65,2,2/31,32.50,9.28,21.0
MM Patel,11,11,34.5,1,241,16,2/14,15.06,6.91,13.0
NK Patel,4,0,0,0,0,0,0,0,0,0
PA Patel,9,0,0,0,0,0,0,0,0,0
IK Pathan,14,14,50.2,1,390,17,3/35,22.94,7.74,17.7
YK Pathan,13,11,35.0,0,243,7,3/34,34.71,6.94,30.0
KP Pietersen,6,4,13.0,0,85,4,2/31,21.25,6.53,19.5
LA Pomersbach,4,0,0,0,0,0,0,0,0,0
RR Powar,9,8,21.0,0,132,5,2/11,26.40,6.28,25.2
RJ Quiney,7,0,0,0,0,0,0,0,0,0
AM Rahane,8,1,1.0,0,5,1,1/5,5.00,5.00,6.0
SK Raina,14,10,27.4,0,164,7,2/17,23.42,5.92,23.7
RR Raje,4,4,6.5,0,72,1,1/25,72.00,10.53,41.0
AS Raut,9,4,4.0,0,36,0,0,0,9.00,0
DB Ravi Teja,9,0,0,0,0,0,0,0,0,0
M Rawat,5,0,0,0,0,0,0,0,0,0
L Ronchi,1,0,0,0,0,0,0,0,0,0
JD Ryder,5,5,17.0,0,115,3,2/14,38.33,6.76,34.0
WP Saha,8,0,0,0,0,0,0,0,0,0
AM Salvi,5,5,17.0,0,134,4,2/19,33.50,7.88,25.5
KC Sangakkara,14,0,0,0,0,0,0,0,0,0
PJ Sangwan,13,13,46.4,1,360,15,3/18,24.00,7.71,18.6
SS Sarkar,2,2,4.1,0,34,1,1/15,34.00,8.16,25.0
V Sehwag,11,1,1.0,0,25,0,0,0,25.00,0
PR Shah,9,0,0,0,0,0,0,0,0,0
RA Shaikh,1,1,1.0,0,11,0,0,0,11.00,0
SS Shaikh,2,0,0,0,0,0,0,0,0,0
I Sharma,11,11,43.0,0,297,11,2/15,27.00,6.90,23.4
KV Sharma,1,0,0,0,0,0,0,0,0,0
RG Sharma,16,12,23.0,0,161,11,4/6,14.63,7.00,12.5
Shoaib Ahmed,8,7,17.0,0,152,5,2/20,30.40,8.94,20.4
LR Shukla,9,5,14.0,0,100,3,3/25,33.33,7.14,28.0
RP Singh,16,16,59.4,1,417,23,4/22,18.13,6.98,15.5
VRV Singh,5,4,9.0,0,82,1,1/22,82.00,9.11,54.0
A Singh,5,5,17.3,0,95,9,4/19,10.55,5.42,11.6
DR Smith,8,8,14.0,0,124,1,1/25,124.00,8.85,84.0
GC Smith,12,0,0,0,0,0,0,0,0,0
S Sohal,8,0,0,0,0,0,0,0,0,0
S Sreesanth,7,7,23.0,0,192,6,2/20,32.00,8.34,23.0
TM Srivastava,2,0,0,0,0,0,0,0,0,0
DW Steyn,3,3,9.0,0,62,2,1/21,31.00,6.88,27.0
SB Styris,2,2,8.0,0,64,5,3/32,12.80,8.00,9.6
TL Suman,12,5,15.0,0,108,5,2/14,21.60,7.20,18.0
A Symonds,8,8,24.0,0,160,7,2/18,22.85,6.66,20.5
YV Takawale,4,0,0,0,0,0,0,0,0,0
LRPL Taylor,11,1,1.0,0,13,0,0,0,13.00,0
SR Tendulkar,13,4,6.0,0,58,0,0,0,9.66,0
T Thushara,2,2,8.0,0,60,3,2/28,20.00,7.50,16.0
MK Tiwary,2,1,1.0,0,11,0,0,0,11.00,0
SS Tiwary,4,0,0,0,0,0,0,0,0,0
SK Trivedi,7,7,20.0,0,152,6,2/19,25.33,7.60,20.0
S Tyagi,8,8,19.0,0,136,5,2/18,27.20,7.15,22.8
RV Uthappa,15,0,0,0,0,0,0,0,0,0
WPUJC Vaas,2,2,8.0,0,71,4,2/19,17.75,8.87,12.0
PC Valthaty,2,0,0,0,0,0,0,0,0,0
RE van der Merwe,10,10,34.0,0,248,9,2/22,27.55,7.29,22.6
MN van Wyk,5,0,0,0,0,0,0,0,0,0
Y Venugopal Rao,16,6,15.0,0,122,4,2/23,30.50,8.13,22.5
DL Vettori,7,7,23.1,0,181,7,3/15,25.85,7.81,19.8
M Vijay,4,0,0,0,0,0,0,0,0,0
R Vinay Kumar,11,11,32.2,0,271,9,2/30,30.11,8.38,21.5
SK Warne,13,13,50.0,0,365,14,3/24,26.07,7.30,21.4
DA Warner,7,0,0,0,0,0,0,0,0,0
Yashpal Singh,8,0,0,0,0,0,0,0,0,0
Yuvraj Singh,14,9,20.0,0,142,6,3/13,23.66,7.10,20.0
