name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
Pankaj Singh,5,5,12.0,0,129,0,0,0,10.75,0
MM Patel,15,15,55.0,1,420,14,3/17,30.00,7.63,23.5
NK Patel,5,0,0,0,0,0,0,0,0,0
PA Patel,13,0,0,0,0,0,0,0,0,0
IK Pathan,14,14,53.0,2,350,15,2/18,23.33,6.60,21.2
YK Pathan,16,13,28.1,0,230,8,3/22,28.75,8.16,21.1
DT Patil,2,0,0,0,0,0,0,0,0,0
RV Pawar,1,0,0,0,0,0,0,0,0,0
SM Pollock,13,13,46.0,1,301,11,3/12,27.36,6.54,25.0
LA Pomersbach,5,0,0,0,0,0,0,0,0,0
RT Ponting,4,0,0,0,0,0,0,0,0,0
RR Powar,5,5,12.0,0,91,3,2/22,30.33,7.58,24.0
AM Rahane,2,0,0,0,0,0,0,0,0,0
SK Raina,16,2,3.2,0,30,1,1/20,30.00,9.00,20.0
RR Raje,6,6,16.2,0,137,5,2/16,27.40,8.38,19.6
DB Ravi Teja,7,1,2.0,0,19,1,1/19,19.00,9.50,12.0
M Rawat,11,0,0,0,0,0,0,0,0,0
L Ronchi,4,0,0,0,0,0,0,0,0,0
WP Saha,12,0,0,0,0,0,0,0,0,0
Salman Butt,7,0,0,0,0,0,0,0,0,0
D Salunkhe,6,5,8.0,0,78,1,1/21,78.00,9.75,48.0
KC Sangakkara,10,0,0,0,0,0,0,0,0,0
PJ Sangwan,7,7,24.0,0,215,5,2/29,43.00,8.95,28.8
PM Sarvesh Kumar,2,2,5.0,0,42,1,1/18,42.00,8.40,30.0
RR Sarwan,4,0,0,0,0,0,0,0,0,0
V Sehwag,14,7,11.0,0,133,3,1/2,44.33,12.09,22.0
PR Shah,5,0,0,0,0,0,0,0,0,0
Shahid Afridi,10,10,30.0,0,225,9,3/28,25.00,7.50,20.0
I Sharma,13,13,42.1,1,329,7,1/7,47.00,7.80,36.1
RG Sharma,13,1,4.0,0,25,1,1/25,25.00,6.25,24.0
Shoaib Akhtar,3,3,7.0,0,54,5,4/11,10.80,7.71,8.4
Shoaib Malik,7,5,8.3,0,85,2,1/6,42.50,10.00,25.5
LR Shukla,13,9,12.0,0,124,6,3/6,20.66,10.33,12.0
LPC Silva,3,1,1.0,0,21,0,0,0,21.00,0
RP Singh,14,14,51.2,1,442,15,3/35,29.46,8.61,20.5
VRV Singh,13,13,48.0,0,420,11,3/29,38.18,8.75,26.1
DR Smith,4,4,11.0,0,83,5,3/26,16.60,7.54,13.2
GC Smith,11,0,0,0,0,0,0,0,0,0
Sohail Tanvir,11,11,41.1,0,266,22,6/14,12.09,6.46,11.2
S Sohal,2,0,0,0,0,0,0,0,0,0
S Sreesanth,15,15,51.1,0,442,19,3/29,23.26,8.63,16.1
TM Srivastava,5,0,0,0,0,0,0,0,0,0
DW Steyn,10,10,38.0,0,252,10,3/27,25.20,6.63,22.8
SB Styris,8,8,27.0,0,199,3,1/24,66.33,7.37,54.0
A Symonds,4,3,6.5,0,101,0,0,0,14.78,0
T Taibu,3,0,0,0,0,0,0,0,0,0
YV Takawale,7,0,0,0,0,0,0,0,0,0
LRPL Taylor,4,0,0,0,0,0,0,0,0,0
SR Tendulkar,7,0,0,0,0,0,0,0,0,0
DJ Thornely,6,4,7.0,0,40,3,2/7,13.33,5.71,14.0
MK Tiwary,9,0,0,0,0,0,0,0,0,0
SS Tiwary,3,0,0,0,0,0,0,0,0,0
SK Trivedi,15,15,48.0,0,399,13,2/25,30.69,8.31,22.1
Umar Gul,6,6,22.3,1,184,12,4/23,15.33,8.17,11.2
RV Uthappa,14,0,0,0,0,0,0,0,0,0
WPUJC Vaas,5,5,17.0,0,145,5,2/9,29.00,8.52,20.4
Y Venugopal Rao,11,7,14.0,0,137,2,2/25,68.50,9.78,42.0
DL Vettori,2,2,8.0,0,54,2,1/19,27.00,6.75,24.0
S Vidyut,9,1,2.0,0,22,1,1/22,22.00,11.00,12.0
DP Vijaykumar,9,9,25.2,0,199,4,1/17,49.75,7.85,38.0
R Vinay Kumar,8,8,23.0,0,182,5,3/27,36.40,7.91,27.6
SK Warne,15,15,52.0,1,404,19,3/19,21.26,7.76,16.4
SR Watson,15,15,54.1,0,383,17,3/10,22.52,7.07,19.1
CL White,8,1,1.0,0,24,0,0,0,24.00,0
AS Yadav,8,0,0,0,0,0,0,0,0,0
VS Yeligati,2,2,5.0,0,59,0,0,0,11.80,0
Younis Khan,1,0,0,0,0,0,0,0,0,0
Yuvraj Singh,15,6,9.0,0,83,3,2/12,27.66,9.22,18.0
DNT Zoysa,3,3,11.0,0,99,2,1/30,49.50,9.00,33.0
