bowler,batsman,runs
RP Singh,M Vijay,62
R Vinay Kumar,JP Duminy,62
MM Sharma,S Dhawan,62
JH Kallis,MEK Hussey,62
B Kumar,SK Raina,62
JP Faulkner,AB de Villiers,62
SR Watson,S Dhawan,61
PP Chawla,SR Tendulkar,61
SL Malinga,TM Dilshan,61
UT Yadav,PA Patel,61
R McLaren,CH Gayle,61
M Morkel,CH Gayle,61
A Nehra,AB de Villiers,61
RA Jadeja,LMP Simmons,61
JH Kallis,V Sehwag,60
MS Gony,V Kohli,60
SR Watson,G Gambhir,60
P Kumar,RS Bopara,60
A Nehra,V Kohli,60
A Mishra,A Symonds,60
SB Jakati,SR Tendulkar,60
AD Mathews,G Gambhir,60
NLTC Perera,SR Watson,60
UT Yadav,AM Rahane,60
A Mishra,KD Karthik,60
DJ Bravo,SPD Smith,60
KV Sharma,YK Pathan,60
JP Faulkner,DR Smith,60
A Nehra,LMP Simmons,60
L Balaji,R Dravid,59
RP Singh,SE Marsh,59
A Mishra,DR Smith,59
PP Chawla,V Sehwag,59
AB Dinda,SR Tendulkar,59
A Nehra,AM Rahane,59
DS Kulkarni,RV Uthappa,59
JA Morkel,V Sehwag,59
YS Chahal,DR Smith,59
DW Steyn,CH Gayle,59
M Morkel,BB McCullum,59
R Ashwin,SR Watson,59
R Bhatia,MEK Hussey,59
L Balaji,MEK Hussey,59
IK Pathan,MEK Hussey,59
SL Malinga,SPD Smith,59
S Nadeem,DR Smith,59
VR Aaron,RG Sharma,59
AB Dinda,RG Sharma,58
UT Yadav,DA Warner,58
S Narwal,M Vijay,58
SL Malinga,DPMD Jayawardene,58
IK Pathan,R Dravid,58
UT Yadav,KD Karthik,58
MM Sharma,LMP Simmons,58
R Ashwin,LMP Simmons,58
Sandeep Sharma,LMP Simmons,58
I Sharma,G Gambhir,57
A Kumble,RG Sharma,57
SK Trivedi,SR Tendulkar,57
JH Kallis,ML Hayden,57
M Muralitharan,RV Uthappa,57
I Sharma,RV Uthappa,57
Sandeep Sharma,S Dhawan,57
R Vinay Kumar,KD Karthik,57
R Bhatia,DPMD Jayawardene,57
KV Sharma,SPD Smith,57
Mohammed Shami,AM Rahane,57
MM Patel,JH Kallis,56
Z Khan,V Sehwag,56
S Sreesanth,AC Gilchrist,56
MS Gony,SA Asnodkar,56
JH Kallis,AC Gilchrist,56
IK Pathan,JH Kallis,56
PP Chawla,RA Jadeja,56
IK Pathan,S Dhawan,56
PP Chawla,KD Karthik,56
AB Dinda,SK Raina,56
S Sreesanth,RV Uthappa,56
PP Chawla,MK Tiwary,56
SB Jakati,G Gambhir,56
SB Jakati,JH Kallis,56
P Kumar,RV Uthappa,56
Shakib Al Hasan,SR Watson,56
VR Aaron,M Vijay,56
KA Pollard,CH Gayle,56
DW Steyn,RV Uthappa,56
KW Richardson,DA Warner,56
Harbhajan Singh,SV Samson,56
AR Patel,CH Gayle,56
DW Steyn,AB de Villiers,55
DJ Bravo,SK Raina,55
DJ Bravo,MS Dhoni,55
A Nehra,RV Uthappa,55
A Mishra,GJ Maxwell,55
PP Chawla,NV Ojha,55
SK Raina,Yuvraj Singh,55
PP Ojha,G Gambhir,55
A Mishra,SR Tendulkar,55
Harbhajan Singh,V Sehwag,55
Iqbal Abdulla,SK Raina,55
SR Watson,RV Uthappa,55
S Nadeem,AM Rahane,55
SB Jakati,AB de Villiers,55
RA Jadeja,V Sehwag,55
RA Jadeja,KD Karthik,55
NM Coulter-Nile,AM Rahane,55
Sandeep Sharma,CH Gayle,55
AB Dinda,PA Patel,54
MJ McClenaghan,AB de Villiers,54
SK Trivedi,TM Dilshan,54
M Muralitharan,SR Watson,54
S Aravind,AM Rahane,54
SK Raina,V Kohli,54
PP Ojha,DA Warner,54
MJ McClenaghan,SS Iyer,54
A Mishra,G Gambhir,54
MM Sharma,AM Rahane,54
MM Sharma,V Kohli,54
Sandeep Sharma,V Kohli,54
PV Tambe,AB de Villiers,54
PJ Cummins,BB McCullum,54
Z Khan,GC Smith,53
SR Watson,SK Raina,53
PP Chawla,G Gambhir,53
M Muralitharan,KD Karthik,53
JH Kallis,KD Karthik,53
DJ Bravo,CH Gayle,53
MC Henriques,G Gambhir,53
MC Henriques,AB de Villiers,53
A Mishra,DJ Hussey,53
MS Gony,G Gambhir,53
Yuvraj Singh,MS Dhoni,53
R Ashwin,AT Rayudu,53
DJ Bravo,AM Rahane,53
MM Patel,CH Gayle,53
B Kumar,V Kohli,53
SP Narine,V Kohli,53
MJ McClenaghan,S Dhawan,53
Harbhajan Singh,GJ Maxwell,53
P Kumar,PA Patel,52
AB Agarkar,RG Sharma,52
RP Singh,G Gambhir,52
SK Warne,RG Sharma,52
MM Patel,V Sehwag,52
P Kumar,AB de Villiers,52
I Sharma,M Vijay,52
R Ashwin,MS Bisla,52
SR Watson,RG Sharma,52
KV Sharma,AM Rahane,52
HV Patel,RV Uthappa,52
AD Mathews,AM Rahane,52
MM Sharma,SR Watson,52
MJ McClenaghan,DA Warner,52
PP Chawla,GJ Maxwell,51
UT Yadav,DA Miller,51
DW Steyn,PA Patel,51
A Mishra,SR Watson,51
RP Singh,JH Kallis,51
PP Ojha,S Dhawan,51
R Vinay Kumar,M Vijay,51
JA Morkel,ST Jayasuriya,51
JA Morkel,S Dhawan,51
SL Malinga,HM Amla,51
Harbhajan Singh,WP Saha,51
R Ashwin,S Dhawan,51
MM Patel,SE Marsh,51
S Nadeem,V Kohli,51
M Muralitharan,G Gambhir,51
P Awana,SK Raina,51
MG Johnson,CH Gayle,51
MG Johnson,DA Warner,51
SK Raina,RR Pant,51
Sandeep Sharma,RV Uthappa,51
KV Sharma,MK Pandey,51
SR Watson,Yuvraj Singh,50
Imran Tahir,RG Sharma,50
M Muralitharan,V Kohli,50
Gagandeep Singh,RG Sharma,50
JJ Bumrah,AB de Villiers,50
DW Steyn,AC Gilchrist,50
Bipul Sharma,MK Pandey,50
B Kumar,YK Pathan,50
UT Yadav,Yuvraj Singh,50
AB Dinda,JP Duminy,50
AB Dinda,DA Warner,50
S Sreesanth,G Gambhir,50
DW Steyn,SR Tendulkar,50
JA Morkel,IK Pathan,50
S Kaushik,V Kohli,50
L Balaji,S Dhawan,50
NLTC Perera,KA Pollard,50
B Lee,CH Gayle,50
SB Jakati,NV Ojha,50
SK Warne,G Gambhir,50
RA Jadeja,AT Rayudu,50
UT Yadav,BB McCullum,50
A Mishra,V Sehwag,50
DJ Hooda,SE Marsh,50
AB Dinda,AB de Villiers,50
SP Narine,JP Duminy,50
B Kumar,PA Patel,50
