name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
VR Aaron,10,3,3,35,17,0,34,102.94,0,0
MA Agarwal,8,8,0,115,31,14.37,91,126.37,0,0
AN Ahmed,4,1,1,4,4,0,1,400.00,0,0
CJ Anderson,12,11,2,265,95,29.44,181,146.40,0,1
S Anirudha,1,1,0,3,3,3.00,5,60.00,0,0
Ankit Sharma,3,2,0,34,30,17.00,30,113.33,0,0
R Ashwin,16,6,3,45,14,15.00,45,100.00,0,0
P Awana,7,0,0,0,0,0,0,0,0,0
S Badree,4,0,0,0,0,0,0,0,0,0
GJ Bailey,17,16,7,257,40,28.55,190,135.26,0,0
L Balaji,9,2,1,1,1,1.00,3,33.33,0,0
R Bhatia,12,7,2,67,23,13.40,53,126.41,0,0
STR Binny,13,12,2,123,48,12.30,121,101.65,0,0
MS Bisla,1,1,0,3,3,3.00,9,33.33,0,0
DJ Bravo,1,1,1,8,8,0,3,266.66,0,0
JJ Bumrah,11,2,2,1,1,0,3,33.33,0,0
YS Chahal,14,2,2,1,1,0,1,100.00,0,0
UBT Chand,1,1,0,2,2,2.00,9,22.22,0,0
PP Chawla,11,5,2,31,17,10.33,19,163.15,0,0
KK Cooper,5,5,2,39,32,13.00,26,150.00,0,0
NM Coulter-Nile,2,1,1,0,0,0,0,0,0,0
PJ Cummins,1,0,0,0,0,0,0,0,0,0
BCJ Cutting,1,1,0,8,8,8.00,6,133.33,0,0
Q de Kock,7,7,0,153,48,21.85,130,117.69,0,0
M de Lange,1,1,0,1,1,1.00,2,50.00,0,0
AB de Villiers,14,13,2,395,89,35.90,249,158.63,0,3
R Dhawan,13,6,4,82,23,41.00,75,109.33,0,0
S Dhawan,14,14,1,377,64,29.00,319,118.18,0,2
MS Dhoni,16,15,10,371,57,74.20,250,148.40,0,1
AB Dinda,9,3,2,4,2,4.00,12,33.33,0,0
JP Duminy,14,14,6,410,67,51.25,305,134.42,0,2
BR Dunk,3,3,0,40,20,13.33,35,114.28,0,0
F du Plessis,15,12,1,303,54,27.54,235,128.93,0,2
JP Faulkner,13,12,8,181,41,45.25,94,192.55,0,0
AJ Finch,13,13,2,309,88,28.09,263,117.49,0,2
G Gambhir,16,16,1,335,69,22.33,293,114.33,0,3
CM Gautam,9,9,2,121,33,17.28,111,109.00,0,0
CH Gayle,9,9,0,196,46,21.77,184,106.52,0,0
S Gopal,4,1,0,11,11,11.00,10,110.00,0,0
Harbhajan Singh,14,7,2,28,10,5.60,25,112.00,0,0
JW Hastings,1,0,0,0,0,0,0,0,0,0
BE Hendricks,3,1,0,0,0,0.00,1,0.00,0,0
MC Henriques,4,2,0,9,9,4.50,14,64.28,0,0
BW Hilfenhaus,8,1,1,0,0,0,0,0,0,0
BJ Hodge,4,4,1,101,40,33.66,72,140.27,0,0
JO Holder,1,1,0,16,16,16.00,12,133.33,0,0
DJ Hussey,5,4,2,116,50,58.00,94,123.40,0,1
MEK Hussey,9,9,0,209,56,23.22,182,114.83,0,2
Imran Tahir,6,2,0,8,4,4.00,10,80.00,0,0
Iqbal Abdulla,1,0,0,0,0,0,0,0,0,0
RA Jadeja,16,10,5,146,36,29.20,110,132.72,0,0
KM Jadhav,10,10,5,149,37,29.80,101,147.52,0,0
SB Jakati,1,0,0,0,0,0,0,0,0,0
MG Johnson,14,8,5,56,16,18.66,50,112.00,0,0
JH Kallis,8,7,1,151,72,25.16,129,117.05,0,1
Karanveer Singh,5,1,1,1,1,0,1,100.00,0,0
KD Karthik,14,14,0,325,69,23.21,258,125.96,0,3
M Kartik,2,0,0,0,0,0,0,0,0,0
S Kaul,5,1,1,2,2,0,2,100.00,0,0
Z Khan,6,4,3,8,7,8.00,7,114.28,0,0
V Kohli,14,14,1,359,73,27.61,294,122.10,0,2
DS Kulkarni,8,2,2,35,28,0,25,140.00,0,0
B Kumar,14,2,1,1,1,1.00,4,25.00,0,0
P Kumar,3,1,0,1,1,1.00,2,50.00,0,0
CA Lynn,2,2,0,58,45,29.00,49,118.36,0,0
BB McCullum,14,14,1,405,71,31.15,333,121.62,0,3
NJ Maddinson,2,2,0,16,12,8.00,14,114.28,0,0
VS Malik,1,1,1,1,1,0,2,50.00,0,0
SL Malinga,10,1,0,2,2,2.00,4,50.00,0,0
Mandeep Singh,3,3,0,24,21,8.00,26,92.30,0,0
M Manhas,12,5,3,35,13,17.50,23,152.17,0,0
SE Marsh,2,2,0,70,40,35.00,52,134.61,0,0
GJ Maxwell,16,16,0,552,95,34.50,294,187.75,0,4
DA Miller,16,16,6,446,66,44.60,299,149.16,0,3
A Mishra,10,2,1,4,4,4.00,7,57.14,0,0
Mohammed Shami,12,4,2,3,1,1.50,7,42.85,0,0
JA Morkel,7,5,2,45,16,15.00,41,109.75,0,0
M Morkel,12,2,2,4,4,0,3,133.33,0,0
M Muralitharan,5,0,0,0,0,0,0,0,0,0
S Nadeem,11,3,1,7,3,3.50,19,36.84,0,0
KK Nair,11,11,1,330,73,33.00,232,142.24,0,3
SP Narine,16,5,3,10,6,5.00,14,71.42,0,0
AM Nayar,5,4,1,43,23,14.33,47,91.48,0,0
JDS Neesham,4,3,0,42,22,14.00,46,91.30,0,0
P Negi,2,0,0,0,0,0,0,0,0,0
A Nehra,4,0,0,0,0,0,0,0,0,0
NV Ojha,11,10,4,232,79,38.66,161,144.09,0,1
PP Ojha,12,3,2,4,2,4.00,8,50.00,0,0
IC Pandey,13,0,0,0,0,0,0,0,0,0
MK Pandey,16,16,3,401,94,30.84,340,117.94,0,2
WD Parnell,8,2,1,2,2,2.00,2,100.00,0,0
Parvez Rasool,3,1,1,0,0,0,0,0,0,0
AR Patel,17,8,2,62,42,10.33,60,103.33,0,0
HV Patel,3,3,1,13,6,6.50,7,185.71,0,0
PA Patel,12,12,2,205,57,20.50,185,110.81,0,1
IK Pathan,10,6,4,55,23,27.50,54,101.85,0,0
YK Pathan,15,12,3,268,72,29.77,165,162.42,0,1
KP Pietersen,11,11,1,294,58,29.40,233,126.18,0,1
KA Pollard,15,15,7,273,78,34.12,203,134.48,0,1
CA Pujara,6,6,1,125,40,25.00,124,100.80,0,0
AM Rahane,13,12,0,339,72,28.25,291,116.49,0,3
KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0
SK Raina,16,16,3,523,87,40.23,359,145.68,0,5
R Rampaul,2,1,0,13,13,13.00,13,100.00,0,0
S Rana,9,7,4,73,19,24.33,65,112.30,0,0
AT Rayudu,15,14,0,361,68,25.78,287,125.78,0,2
KW Richardson,7,1,0,1,1,1.00,2,50.00,0,0
RR Rossouw,3,3,0,39,24,13.00,41,95.12,0,0
AD Russell,2,2,0,2,1,1.00,8,25.00,0,0
WP Saha,17,13,2,362,115,32.90,249,145.38,1,2
DJG Sammy,10,9,2,108,29,15.42,91,118.68,0,0
SV Samson,13,13,0,339,74,26.07,273,124.17,0,2
Sandeep Sharma,11,1,1,2,2,0,5,40.00,0,0
K Santokie,2,0,0,0,0,0,0,0,0,0
V Sehwag,17,17,0,455,122,26.76,315,144.44,1,1
V Shankar,1,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1
I Sharma,3,0,0,0,0,0,0,0,0,0
KV Sharma,14,8,4,42,17,10.50,29,144.82,0,0
MM Sharma,16,1,1,1,1,0,3,33.33,0,0
R Sharma,2,0,0,0,0,0,0,0,0,0
RG Sharma,15,15,2,390,59,30.00,302,129.13,0,3
Shivam Sharma,4,2,1,5,4,5.00,3,166.66,0,0
LR Shukla,5,3,0,31,21,10.33,38,81.57,0,0
R Shukla,3,3,2,18,14,18.00,21,85.71,0,0
LMP Simmons,8,8,1,394,100,56.28,291,135.39,1,3
DR Smith,16,16,0,566,79,35.37,416,136.05,0,5
SPD Smith,10,7,3,147,48,36.75,110,133.63,0,0
TG Southee,3,1,0,4,4,4.00,4,100.00,0,0
MA Starc,14,9,3,85,29,14.16,84,101.19,0,0
DW Steyn,14,4,1,22,12,7.33,26,84.61,0,0
P Suyal,1,0,0,0,0,0,0,0,0,0
YV Takawale,5,5,0,104,45,20.80,91,114.28,0,0
PV Tambe,13,2,0,5,3,2.50,9,55.55,0,0
AP Tare,15,12,4,126,24,15.75,98,128.57,0,0
LRPL Taylor,4,4,1,59,43,19.66,59,100.00,0,0
RN ten Doeschate,10,7,3,52,25,13.00,33,157.57,0,0
R Tewatia,3,1,0,16,16,16.00,13,123.07,0,0
MK Tiwary,8,8,3,152,61,30.40,118,128.81,0,1
JD Unadkat,9,2,1,1,1,1.00,6,16.66,0,0
RV Uthappa,16,16,1,660,83,44.00,479,137.78,0,5
Y Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0
M Vijay,11,11,0,207,52,18.81,192,107.81,0,1
R Vinay Kumar,9,4,2,4,4,2.00,6,66.66,0,0
M Vohra,8,8,0,324,67,40.50,233,139.05,0,1
DA Warner,14,14,3,528,90,48.00,375,140.80,0,6
SR Watson,13,13,1,240,51,20.00,196,122.44,0,2
SA Yadav,16,10,5,164,34,32.80,117,140.17,0,0
UT Yadav,12,1,0,2,2,2.00,4,50.00,0,0
DH Yagnik,1,1,1,4,4,0,6,66.66,0,0
Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3
VH Zol,3,2,0,29,16,14.50,26,111.53,0,0
