name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
S Ladda,2,0,0,0,0,0,0,0,0,0
VR Aaron,4,1,1,0,0,0,5,0.00,0,0
L Ablish,1,1,1,0,0,0,2,0.00,0,0
AB Agarkar,7,2,1,7,7,7.00,6,116.66,0,0
MA Agarwal,8,7,0,141,41,20.14,120,117.50,0,0
AN Ahmed,6,1,1,18,18,0,13,138.46,0,0
B Akhil,1,1,0,13,13,13.00,9,144.44,0,0
Anand Rajan,2,0,0,0,0,0,0,0,0,0
S Anirudha,9,5,1,83,64,20.75,74,112.16,0,1
S Aravind,13,2,2,13,11,0,8,162.50,0,0
KB Arun Karthik,3,2,0,7,6,3.50,8,87.50,0,0
R Ashwin,16,2,0,2,2,1.00,6,33.33,0,0
SA Asnodkar,1,1,0,9,9,9.00,9,100.00,0,0
S Badrinath,16,13,6,396,71,56.57,313,126.51,0,5
L Balaji,14,2,2,4,3,0,2,200.00,0,0
R Bhatia,14,6,3,25,11,8.33,22,113.63,0,0
BA Bhatt,10,1,0,0,0,0.00,5,0.00,0,0
STR Binny,6,2,1,37,30,37.00,31,119.35,0,0
Bipul Sharma,4,3,2,23,16,23.00,18,127.77,0,0
TR Birt,5,5,0,75,27,15.00,58,129.31,0,0
MS Bisla,5,5,0,72,27,14.40,89,80.89,0,0
AC Blizzard,6,6,0,120,51,20.00,87,137.93,0,1
DE Bollinger,13,1,1,0,0,0,1,0.00,0,0
J Botha,10,9,4,230,67,46.00,198,116.16,0,1
MV Boucher,4,3,2,6,5,6.00,6,100.00,0,0
DJ Bravo,6,2,1,11,6,11.00,6,183.33,0,0
UBT Chand,2,2,0,2,2,1.00,12,16.66,0,0
AA Chavan,2,1,0,1,1,1.00,3,33.33,0,0
PP Chawla,12,6,3,48,15,16.00,55,87.27,0,0
B Chipli,14,13,5,207,61,25.87,170,121.76,0,1
SD Chitnis,1,1,0,9,9,9.00,9,100.00,0,0
DT Christian,14,13,2,190,30,17.27,159,119.49,0,0
KH Devdhar,1,0,0,0,0,0,0,0,0,0
AB de Villiers,16,13,4,312,65,34.66,243,128.39,0,2
S Dhawan,14,14,2,400,95,33.33,310,129.03,0,2
MS Dhoni,16,13,4,392,70,43.55,247,158.70,0,2
TM Dilshan,10,10,2,226,59,28.25,180,125.55,0,2
AB Dinda,6,1,0,0,0,0.00,5,0.00,0,0
ND Doshi,3,1,0,0,0,0.00,13,0.00,0,0
R Dravid,12,12,1,343,66,31.18,314,109.23,0,1
JP Duminy,10,10,0,205,55,20.50,174,117.81,0,1
JP Faulkner,1,0,0,0,0,0,0,0,0,0
FY Fazal,2,2,0,19,16,9.50,19,100.00,0,0
CJ Ferguson,5,4,2,48,16,24.00,54,88.88,0,0
AJ Finch,6,6,0,47,25,7.83,46,102.17,0,0
JEC Franklin,8,5,3,107,45,53.50,78,137.17,0,0
G Gambhir,15,15,4,378,75,34.36,317,119.24,0,2
SC Ganguly,4,3,1,50,32,25.00,59,84.74,0,0
CH Gayle,12,12,3,608,107,67.55,332,183.13,2,3
AC Gilchrist,14,14,0,383,106,27.35,295,129.83,1,2
Y Gnaneswara Rao,2,1,0,19,19,19.00,17,111.76,0,0
RV Gomez,11,8,3,46,26,9.20,50,92.00,0,0
MS Gony,3,2,1,0,0,0.00,2,0.00,0,0
SP Goswami,5,4,0,29,22,7.25,29,100.00,0,0
BJ Haddin,1,1,0,18,18,18.00,11,163.63,0,0
Harbhajan Singh,15,8,5,103,30,34.33,71,145.07,0,0
Harmeet Singh,2,0,0,0,0,0,0,0,0,0
Harpreet Singh,2,2,1,14,13,14.00,20,70.00,0,0
RJ Harris,13,7,2,31,17,6.20,39,79.48,0,0
BJ Hodge,14,14,6,285,51,35.62,236,120.76,0,1
JR Hopes,10,8,3,196,55,39.20,158,124.05,0,2
DJ Hussey,8,8,2,64,21,10.66,63,101.58,0,0
MEK Hussey,14,14,2,492,83,41.00,414,118.84,0,4
CA Ingram,3,3,1,21,13,10.50,26,80.76,0,0
Iqbal Abdulla,15,2,2,15,12,0,12,125.00,0,0
DJ Jacobs,6,6,0,92,32,15.33,88,104.54,0,0
RA Jadeja,14,12,3,283,47,31.44,228,124.12,0,0
KM Jadhav,6,4,1,18,12,6.00,23,78.26,0,0
IR Jaggi,2,2,0,28,25,14.00,37,75.67,0,0
SB Jakati,15,1,1,0,0,0,0,0,0,0
DPMD Jayawardene,13,13,0,299,76,23.00,257,116.34,0,3
AA Jhunjhunwala,3,2,0,10,10,5.00,18,55.55,0,0
Joginder Sharma,1,1,0,0,0,0.00,1,0.00,0,0
M Kaif,8,4,1,41,15,13.66,33,124.24,0,0
JH Kallis,15,14,2,424,80,35.33,378,112.16,0,4
S Randiv,8,1,0,2,2,2.00,4,50.00,0,0
Kamran Khan,1,0,0,0,0,0,0,0,0,0
KD Karthik,14,13,2,282,69,25.63,220,128.18,0,1
M Kartik,6,3,2,12,11,12.00,15,80.00,0,0
AA Kazi,1,0,0,0,0,0,0,0,0,0
Z Khan,15,2,0,21,21,10.50,24,87.50,0,0
M Klinger,4,4,0,73,29,18.25,77,94.80,0,0
V Kohli,16,16,4,557,71,46.41,460,121.08,0,4
KMDN Kulasekara,1,0,0,0,0,0,0,0,0,0
DS Kulkarni,6,2,1,2,2,2.00,4,50.00,0,0
B Kumar,4,1,1,1,1,0,1,100.00,0,0
P Kumar,13,7,4,27,15,9.00,31,87.09,0,0
CK Langeveldt,3,1,0,8,8,8.00,8,100.00,0,0
VVS Laxman,3,3,0,44,36,14.66,42,104.76,0,0
B Lee,12,4,1,5,2,1.66,9,55.55,0,0
MJ Lumb,1,1,0,0,0,0.00,2,0.00,0,0
