name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
BB McCullum,13,13,0,357,81,27.46,275,129.81,0,1
NL McCullum,2,2,1,26,15,26.00,22,118.18,0,0
AB McDonald,1,1,0,8,8,8.00,7,114.28,0,0
R McLaren,6,4,1,90,51,30.00,96,93.75,0,1
I Malhotra,1,1,1,7,7,0,4,175.00,0,0
VS Malik,1,0,0,0,0,0,0,0,0,0
SL Malinga,16,4,1,8,7,2.66,9,88.88,0,0
Mandeep Singh,6,5,1,47,15,11.75,41,114.63,0,0
M Manhas,10,10,0,114,35,11.40,123,92.68,0,0
MR Marsh,5,3,1,50,37,25.00,49,102.04,0,0
SE Marsh,14,13,1,504,95,42.00,344,146.51,0,4
AL Menaria,13,10,1,180,34,20.00,152,118.42,0,0
A Mishra,14,9,5,68,25,17.00,49,138.77,0,0
MD Mishra,6,5,1,67,37,16.75,60,111.66,0,0
A Mithun,12,6,3,27,11,9.00,20,135.00,0,0
EJG Morgan,12,9,0,137,66,15.22,117,117.09,0,1
JA Morkel,15,13,7,138,30,23.00,102,135.29,0,0
M Morkel,11,5,3,40,16,20.00,25,160.00,0,0
SS Mundhe,1,0,0,0,0,0,0,0,0,0
M Muralitharan,5,1,1,5,5,0,8,62.50,0,0
AG Murtaza,5,1,1,2,2,0,5,40.00,0,0
S Nadeem,5,2,1,0,0,0.00,1,0.00,0,0
Y Nagar,11,10,3,111,23,15.85,100,111.00,0,0
DP Nannes,2,0,0,0,0,0,0,0,0,0
AM Nayar,10,9,2,61,17,8.71,67,91.04,0,0
R Ninan,2,1,0,3,3,3.00,6,50.00,0,0
NV Ojha,14,14,1,160,29,12.30,161,99.37,0,0
PP Ojha,10,0,0,0,0,0,0,0,0,0
JDP Oram,2,1,0,0,0,0.00,3,0.00,0,0
TD Paine,2,2,0,10,8,5.00,26,38.46,0,0
MK Pandey,10,9,0,246,59,27.33,227,108.37,0,1
Pankaj Singh,1,0,0,0,0,0,0,0,0,0
P Parameswaran,5,1,1,1,1,0,1,100.00,0,0
WD Parnell,8,5,2,37,16,12.33,39,94.87,0,0
MM Patel,15,1,0,0,0,0.00,1,0.00,0,0
PA Patel,14,13,3,202,37,20.20,183,110.38,0,0
AUK Pathan,6,5,1,33,14,8.25,16,206.25,0,0
IK Pathan,14,12,4,150,44,18.75,138,108.69,0,0
YK Pathan,15,11,1,283,47,28.30,201,140.79,0,0
AG Paunikar,4,4,0,49,20,12.25,57,85.96,0,0
NLTC Perera,4,2,0,23,22,11.50,27,85.18,0,0
KA Pollard,16,13,3,146,28,14.60,133,109.77,0,0
LA Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0
RR Powar,5,3,2,11,8,11.00,13,84.61,0,0
P Prasanth,1,0,0,0,0,0,0,0,0,0
RW Price,1,0,0,0,0,0,0,0,0,0
CA Pujara,7,3,0,34,25,11.33,31,109.67,0,0
AM Rahane,10,7,1,120,52,20.00,98,122.44,0,1
SK Raina,16,16,2,438,73,31.28,325,134.76,0,4
S Rana,2,1,0,18,18,18.00,16,112.50,0,0
AS Raut,7,4,1,60,25,20.00,58,103.44,0,0
DB Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1
AT Rayudu,16,16,2,395,63,28.21,350,112.85,0,4
NJ Rimmington,1,1,1,1,1,0,1,100.00,0,0
JD Ryder,13,13,0,292,60,22.46,197,148.22,0,2
WP Saha,7,3,2,68,46,68.00,63,107.93,0,0
AM Salvi,2,0,0,0,0,0,0,0,0,0
KC Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1
R Sathish,9,3,1,25,18,12.50,34,73.52,0,0
V Sehwag,11,11,0,424,119,38.54,240,176.66,1,2
OA Shah,3,2,0,26,23,13.00,15,173.33,0,0
PR Shah,2,1,0,5,5,5.00,5,100.00,0,0
Shakib Al Hasan,7,3,1,29,26,14.50,22,131.81,0,0
I Sharma,12,5,5,4,1,0,5,80.00,0,0
R Sharma,14,5,2,24,13,8.00,21,114.28,0,0
RG Sharma,16,14,3,372,87,33.81,297,125.25,0,3
LR Shukla,1,1,0,14,14,14.00,10,140.00,0,0
RP Singh,14,5,2,2,1,0.66,4,50.00,0,0
A Singh,9,2,0,1,1,0.50,4,25.00,0,0
GC Smith,4,4,0,42,24,10.50,51,82.35,0,0
S Sohal,11,10,0,249,62,24.90,191,130.36,0,2
TG Southee,5,0,0,0,0,0,0,0,0,0
S Sreesanth,9,3,1,1,1,0.50,9,11.11,0,0
S Sriram,1,1,0,4,4,4.00,7,57.14,0,0
SJ Srivastava,6,2,2,4,3,0,3,133.33,0,0
DW Steyn,12,5,1,36,13,9.00,35,102.85,0,0
SB Styris,2,1,1,5,5,0,2,250.00,0,0
TL Suman,8,7,1,65,36,10.83,51,127.45,0,0
Sunny Singh,6,5,1,43,20,10.75,31,138.70,0,0
J Syed Mohammad,5,2,2,15,13,0,12,125.00,0,0
A Symonds,11,9,5,135,44,33.75,138,97.82,0,0
SW Tait,4,2,1,10,10,10.00,10,100.00,0,0
JE Taylor,5,2,1,3,2,3.00,3,100.00,0,0
LRPL Taylor,12,11,6,181,47,36.20,152,119.07,0,0
RN ten Doeschate,6,3,1,107,70,53.50,73,146.57,0,1
SR Tendulkar,16,16,3,553,100,42.53,488,113.31,1,2
AC Thomas,11,2,2,1,1,0,4,25.00,0,0
MK Tiwary,15,14,7,359,61,51.28,325,110.46,0,1
SS Tiwary,16,13,5,187,42,23.37,188,99.46,0,0
SK Trivedi,12,2,1,0,0,0.00,2,0.00,0,0
JD Unadkat,7,0,0,0,0,0,0,0,0,0
RV Uthappa,14,13,3,264,45,26.40,209,126.31,0,0
PC Valthaty,14,14,1,463,120,35.61,338,136.98,1,2
RE van der Merwe,4,4,4,14,8,0,16,87.50,0,0
JJ van der Wath,3,3,1,18,14,9.00,16,112.50,0,0
Y Venugopal Rao,14,14,2,336,60,28.00,280,120.00,0,1
DL Vettori,13,4,3,23,18,23.00,28,82.14,0,0
M Vijay,16,16,0,434,95,27.12,339,128.02,0,3
R Vinay Kumar,13,7,1,50,18,8.33,47,106.38,0,0
MS Wade,3,3,0,22,11,7.33,33,66.66,0,0
SB Wagh,7,2,0,2,2,1.00,3,66.66,0,0
SK Warne,13,4,2,10,5,5.00,20,50.00,0,0
DA Warner,13,13,0,324,77,24.92,276,117.39,0,3
SR Watson,11,11,1,330,89,33.00,253,130.43,0,1
CL White,6,6,2,104,31,26.00,109,95.41,0,0
UT Yadav,7,2,1,1,1,1.00,5,20.00,0,0
DH Yagnik,7,4,3,16,10,16.00,22,72.72,0,0
Yuvraj Singh,14,13,3,343,66,34.30,261,131.41,0,2
