name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
A Uniyal,2,2,1,4,4,4.00,7,57.14,0,0
RV Uthappa,16,14,2,374,68,31.16,218,171.55,0,3
WPUJC Vaas,6,5,1,30,16,7.50,34,88.23,0,0
RE van der Merwe,1,1,0,1,1,1.00,2,50.00,0,0
Y Venugopal Rao,6,5,1,34,24,8.50,43,79.06,0,0
DL Vettori,3,3,2,33,19,33.00,27,122.22,0,0
M Vijay,15,15,2,458,127,35.23,292,156.84,1,2
R Vinay Kumar,14,5,1,27,10,6.75,32,84.37,0,0
AC Voges,9,7,3,181,45,45.25,143,126.57,0,0
SB Wagh,1,0,0,0,0,0,0,0,0,0
SK Warne,14,7,2,10,4,2.00,19,52.63,0,0
DA Warner,11,11,1,282,107,28.20,191,147.64,1,1
SR Watson,6,5,0,185,60,37.00,114,162.28,0,2
CL White,7,5,3,48,21,24.00,33,145.45,0,0
UT Yadav,7,1,1,3,3,0,4,75.00,0,0
Yuvraj Singh,14,14,2,255,43,21.25,199,128.14,0,0
