name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
S Ladda,5,2,1,0,0,0.00,9,0.00,0,0
YA Abdulla,2,1,1,0,0,0,1,0.00,0,0
L Ablish,2,0,0,0,0,0,0,0,0,0
AB Agarkar,7,4,3,40,17,40.00,29,137.93,0,0
AN Ahmed,1,1,1,4,4,0,7,57.14,0,0
B Akhil,1,0,0,0,0,0,0,0,0,0
S Anirudha,4,3,2,30,24,30.00,18,166.66,0,0
Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0
KP Appanna,2,2,1,2,1,2.00,3,66.66,0,0
KB Arun Karthik,1,1,1,3,3,0,5,60.00,0,0
R Ashwin,12,6,2,30,11,7.50,40,75.00,0,0
SA Asnodkar,2,2,0,5,5,2.50,4,125.00,0,0
S Badrinath,16,15,4,356,55,32.36,303,117.49,0,2
GJ Bailey,1,1,0,18,18,18.00,27,66.66,0,0
L Balaji,7,3,1,18,15,9.00,20,90.00,0,0
AB Barath,3,3,1,42,33,21.00,42,100.00,0,0
R Bhatia,5,3,0,24,21,8.00,17,141.17,0,0
AA Bilakhia,1,1,0,2,2,2.00,4,50.00,0,0
STR Binny,1,1,0,8,8,8.00,5,160.00,0,0
Bipul Sharma,5,2,2,9,8,0,7,128.57,0,0
MS Bisla,10,10,0,218,75,21.80,178,122.47,0,1
DE Bollinger,8,2,2,18,16,0,17,105.88,0,0
SE Bond,8,1,0,1,1,1.00,2,50.00,0,0
RS Bopara,10,9,1,248,77,31.00,214,115.88,0,2
MV Boucher,5,2,1,13,11,13.00,10,130.00,0,0
DJ Bravo,10,8,1,61,23,8.71,53,115.09,0,0
PP Chawla,14,6,1,62,22,12.40,60,103.33,0,0
PD Collingwood,8,7,2,203,75,40.60,156,130.12,0,3
AB de Villiers,7,7,0,111,45,15.85,119,93.27,0,0
S Dhawan,10,10,0,191,56,19.10,170,112.35,0,2
MS Dhoni,13,11,2,287,66,31.88,210,136.66,0,2
TM Dilshan,6,6,0,44,17,7.33,53,83.01,0,0
AB Dinda,7,1,0,0,0,0.00,1,0.00,0,0
P Dogra,9,8,0,107,41,13.37,106,100.94,0,0
AP Dole,3,2,0,34,30,17.00,22,154.54,0,0
ND Doshi,1,0,0,0,0,0,0,0,0,0
R Dravid,16,11,2,256,52,28.44,199,128.64,0,1
JP Duminy,7,7,2,157,42,31.40,131,119.84,0,0
FY Fazal,10,9,1,164,45,20.50,154,106.49,0,0
CRD Fernando,5,1,1,2,2,0,2,100.00,0,0
AJ Finch,1,1,0,21,21,21.00,21,100.00,0,0
G Gambhir,11,10,1,277,72,30.77,217,127.64,0,2
C Ganapathy,1,1,1,0,0,0,0,0,0,0
SC Ganguly,14,14,1,493,88,37.92,419,117.66,0,4
RS Gavaskar,2,1,0,2,2,2.00,8,25.00,0,0
CH Gayle,9,9,0,292,88,32.44,184,158.69,0,2
HH Gibbs,10,10,0,267,50,26.70,235,113.61,0,1
AC Gilchrist,16,16,0,289,54,18.06,185,156.21,0,1
K Goel,6,2,1,18,17,18.00,20,90.00,0,0
MS Gony,3,1,0,2,2,2.00,6,33.33,0,0
SP Goswami,1,1,0,8,8,8.00,10,80.00,0,0
Harbhajan Singh,15,7,3,105,49,26.25,63,166.66,0,0
Harmeet Singh,8,3,1,0,0,0.00,1,0.00,0,0
Harpreet Singh,1,0,0,0,0,0,0,0,0,0
RJ Harris,8,5,1,45,15,11.25,39,115.38,0,0
ML Hayden,16,16,0,346,93,21.62,279,124.01,0,1
MC Henriques,1,1,0,11,11,11.00,5,220.00,0,0
BJ Hodge,4,4,0,99,50,24.75,90,110.00,0,1
DJ Hussey,6,6,2,94,31,23.50,86,109.30,0,0
MEK Hussey,3,3,1,37,15,18.50,44,84.09,0,0
Iqbal Abdulla,3,1,1,0,0,0,1,0.00,0,0
KM Jadhav,5,5,2,76,50,25.33,56,135.71,0,1
SB Jakati,11,2,2,0,0,0,0,0,0,0
Jaskaran Singh,6,4,3,8,4,8.00,11,72.72,0,0
ST Jayasuriya,4,4,0,33,23,8.25,31,106.45,0,0
DPMD Jayawardene,13,13,3,439,110,43.90,298,147.31,1,1
AA Jhunjhunwala,13,11,2,183,53,20.33,166,110.24,0,1
Joginder Sharma,3,0,0,0,0,0,0,0,0,0
M Kaif,4,3,0,28,14,9.33,30,93.33,0,0
JH Kallis,16,16,4,572,89,47.66,494,115.78,0,6
Kamran Khan,3,1,1,0,0,0,0,0,0,0
KD Karthik,14,14,1,278,69,21.38,237,117.29,0,1
M Kartik,10,2,0,22,21,11.00,22,100.00,0,0
JM Kemp,5,2,0,26,22,13.00,24,108.33,0,0
Z Khan,14,4,3,24,23,24.00,13,184.61,0,0
V Kohli,16,13,2,307,58,27.90,212,144.81,0,1
DS Kulkarni,1,0,0,0,0,0,0,0,0,0
P Kumar,12,4,2,4,3,2.00,8,50.00,0,0
A Kumble,16,5,5,6,2,0,11,54.54,0,0
CK Langeveldt,3,1,0,0,0,0.00,1,0.00,0,0
VVS Laxman,6,6,1,64,22,12.80,60,106.66,0,0
B Lee,4,3,2,11,7,11.00,9,122.22,0,0
MJ Lumb,11,11,0,278,83,25.27,192,144.79,0,1
BB McCullum,5,5,1,114,57,28.50,110,103.63,0,1
AB McDonald,4,3,3,65,33,0,52,125.00,0,0
R McLaren,10,7,4,66,40,22.00,69,95.65,0,0
C Madan,1,1,0,15,15,15.00,19,78.94,0,0
MF Maharoof,7,4,1,31,28,10.33,23,134.78,0,0
VY Mahesh,1,0,0,0,0,0,0,0,0,0
VS Malik,3,1,0,6,6,6.00,5,120.00,0,0
SL Malinga,13,2,2,1,1,0,1,100.00,0,0
Mandeep Singh,3,2,0,4,4,2.00,11,36.36,0,0
M Manhas,9,8,4,157,32,39.25,149,105.36,0,0
MR Marsh,3,2,0,28,15,14.00,30,93.33,0,0
SE Marsh,4,4,1,147,88,49.00,114,128.94,0,2
DR Martyn,1,1,0,19,19,19.00,24,79.16,0,0
AD Mascarenhas,2,2,1,12,9,12.00,10,120.00,0,0
AD Mathews,14,11,4,233,65,33.28,184,126.63,0,1
BAW Mendis,2,1,1,1,1,0,1,100.00,0,0
A Mishra,14,7,3,39,12,9.75,51,76.47,0,0
MD Mishra,11,11,0,166,41,15.09,144,115.27,0,0
A Mithun,1,1,0,5,5,5.00,4,125.00,0,0
EJG Morgan,6,4,1,35,17,11.66,30,116.66,0,0
JA Morkel,14,11,3,198,62,24.75,131,151.14,0,1
M Morkel,2,2,1,9,7,9.00,16,56.25,0,0
M Muralitharan,12,1,0,1,1,1.00,2,50.00,0,0
AG Murtaza,3,0,0,0,0,0,0,0,0,0
Y Nagar,1,1,0,1,1,1.00,6,16.66,0,0
DP Nannes,9,2,1,4,3,4.00,13,30.76,0,0
S Narwal,5,3,1,14,12,7.00,12,116.66,0,0
AM Nayar,3,3,1,58,27,29.00,51,113.72,0,0
A Nehra,4,2,1,23,22,23.00,20,115.00,0,0
NV Ojha,14,14,2,377,94,31.41,285,132.28,0,2
PP Ojha,16,6,3,3,2,1.00,8,37.50,0,0
MK Pandey,13,13,1,249,42,20.75,226,110.17,0,0
Pankaj Singh,2,1,0,1,1,1.00,2,50.00,0,0
MB Parmar,1,0,0,0,0,0,0,0,0,0
MM Patel,4,2,1,4,4,4.00,5,80.00,0,0
PA Patel,4,4,0,72,57,18.00,79,91.13,0,1
IK Pathan,14,13,5,276,60,34.50,186,148.38,0,1
YK Pathan,14,14,2,333,100,27.75,201,165.67,1,1
AG Paunikar,1,1,0,0,0,0.00,1,0.00,0,0
NLTC Perera,1,0,0,0,0,0,0,0,0,0
KP Pietersen,7,7,3,236,66,59.00,157,150.31,0,2
KA Pollard,14,14,2,273,45,22.75,147,185.71,0,0
RR Powar,7,2,1,5,3,5.00,8,62.50,0,0
CA Pujara,10,6,2,122,45,30.50,115,106.08,0,0
SK Raina,16,16,5,520,83,47.27,364,142.85,0,4
AS Raut,6,5,3,56,32,28.00,48,116.66,0,0
AT Rayudu,14,14,1,356,55,27.38,246,144.71,0,2
KAJ Roach,2,1,0,10,10,10.00,9,111.11,0,0
WP Saha,13,7,4,67,22,22.33,53,126.41,0,0
KC Sangakkara,13,12,0,357,56,29.75,257,138.91,0,2
PJ Sangwan,8,2,1,10,6,10.00,14,71.42,0,0
R Sathish,12,11,4,112,24,16.00,96,116.66,0,0
V Sehwag,14,14,0,356,75,25.42,218,163.30,0,3
OA Shah,5,5,3,115,58,57.50,95,121.05,0,1
I Sharma,7,2,1,6,6,6.00,17,35.29,0,0
R Sharma,6,4,1,29,14,9.66,26,111.53,0,0
RG Sharma,16,16,2,404,73,28.85,302,133.77,0,3
LR Shukla,4,2,0,36,19,18.00,26,138.46,0,0
RP Singh,12,5,3,9,4,4.50,19,47.36,0,0
VRV Singh,1,0,0,0,0,0,0,0,0,0
DR Smith,3,3,1,22,13,11.00,25,88.00,0,0
GC Smith,2,2,0,44,26,22.00,39,112.82,0,0
RS Sodhi,3,1,1,4,4,0,2,200.00,0,0
S Sohal,1,0,0,0,0,0,0,0,0,0
S Sreesanth,6,3,3,27,15,0,21,128.57,0,0
S Sriram,1,1,0,27,27,27.00,29,93.10,0,0
SJ Srivastava,8,2,1,1,1,1.00,2,50.00,0,0
DW Steyn,15,4,0,13,8,3.25,17,76.47,0,0
TL Suman,14,14,5,307,78,34.11,257,119.45,0,2
B Sumanth,5,4,3,35,16,35.00,37,94.59,0,0
A Symonds,16,16,2,429,54,30.64,341,125.80,0,4
SW Tait,8,2,1,12,11,12.00,13,92.30,0,0
AP Tare,7,4,0,50,23,12.50,36,138.88,0,0
LRPL Taylor,7,7,3,88,31,22.00,75,117.33,0,0
SR Tendulkar,15,15,2,618,89,47.53,466,132.61,0,5
J Theron,7,2,0,2,2,1.00,5,40.00,0,0
T Thushara,4,2,1,10,8,10.00,11,90.90,0,0
MK Tiwary,13,11,2,237,75,26.33,186,127.41,0,2
SS Tiwary,16,15,1,419,61,29.92,309,135.59,0,3
SK Trivedi,11,4,2,20,9,10.00,14,142.85,0,0
S Tyagi,6,1,1,3,3,0,4,75.00,0,0
JD Unadkat,3,0,0,0,0,0,0,0,0,0
