name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
S Ladda,1,0,0,0,0,0,0,0,0,0
AB Agarkar,4,2,1,12,9,12.00,16,75.00,0,0
MA Agarwal,5,5,0,67,29,13.40,62,108.06,0,0
AN Ahmed,2,0,0,0,0,0,0,0,0,0
Anand Rajan,2,0,0,0,0,0,0,0,0,0
S Anirudha,1,1,0,0,0,0.00,2,0.00,0,0
Ankit Sharma,1,0,0,0,0,0,0,0,0,0
KB Arun Karthik,12,5,2,41,19,13.66,38,107.89,0,0
A Ashish Reddy,12,10,4,125,36,20.83,89,140.44,0,0
R Ashwin,18,5,1,35,11,8.75,49,71.42,0,0
P Awana,14,5,3,1,1,0.50,9,11.11,0,0
Azhar Mahmood,11,10,0,196,80,19.60,154,127.27,0,2
S Badree,1,0,0,0,0,0,0,0,0,0
S Badrinath,18,8,1,124,34,17.71,121,102.47,0,0
L Balaji,13,3,2,9,9,9.00,10,90.00,0,0
R Bhatia,15,10,4,99,26,16.50,80,123.75,0,0
BA Bhatt,2,0,0,0,0,0,0,0,0,0
STR Binny,17,16,7,293,41,32.55,199,147.23,0,0
Bipul Sharma,1,0,0,0,0,0,0,0,0,0
UA Birla,2,1,0,7,7,7.00,14,50.00,0,0
MS Bisla,14,14,1,255,92,19.61,236,108.05,0,2
J Botha,6,6,0,43,23,7.16,52,82.69,0,0
DJ Bravo,18,12,4,121,23,15.12,106,114.15,0,0
JJ Bumrah,2,0,0,0,0,0,0,0,0,0
YS Chahal,1,0,0,0,0,0,0,0,0,0
UBT Chand,9,9,0,158,41,17.55,158,100.00,0,0
A Chandila,8,1,1,4,4,0,6,66.66,0,0
AA Chavan,3,0,0,0,0,0,0,0,0,0
PP Chawla,16,11,5,64,23,10.66,57,112.28,0,0
B Chipli,1,1,0,16,16,16.00,18,88.88,0,0
DT Christian,2,2,0,6,4,3.00,15,40.00,0,0
KK Cooper,14,5,1,39,26,9.75,22,177.27,0,0
NM Coulter-Nile,1,1,0,9,9,9.00,6,150.00,0,0
DB Das,10,6,1,75,23,15.00,74,101.35,0,0
Q de Kock,3,3,0,6,4,2.00,15,40.00,0,0
AB de Villiers,14,14,4,360,64,36.00,219,164.38,0,2
R Dhawan,6,4,1,21,14,7.00,21,100.00,0,0
S Dhawan,10,10,2,311,73,38.87,253,122.92,0,3
MS Dhoni,18,16,5,461,67,41.90,283,162.89,0,4
TM Dilshan,5,5,0,76,33,15.20,93,81.72,0,0
AB Dinda,13,5,3,9,6,4.50,11,81.81,0,0
P Dogra,1,1,0,5,5,5.00,8,62.50,0,0
R Dravid,18,17,1,471,65,29.43,425,110.82,0,4
JP Faulkner,16,9,4,57,19,11.40,57,100.00,0,0
AJ Finch,14,14,0,456,67,32.57,336,135.71,0,4
G Gambhir,16,16,0,406,60,25.37,343,118.36,0,4
CM Gautam,3,3,1,44,30,22.00,34,129.41,0,0
CH Gayle,16,16,4,708,175,59.00,453,156.29,1,4
AC Gilchrist,13,13,1,294,85,24.50,229,128.38,0,1
RV Gomez,2,1,1,4,4,0,1,400.00,0,0
MS Gony,8,5,1,45,42,11.25,25,180.00,0,0
