name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
Gurkeerat Singh,11,9,1,108,31,13.50,95,113.68,0,0
Harbhajan Singh,19,14,8,116,25,19.33,79,146.83,0,0
Harmeet Singh,3,1,0,3,3,3.00,4,75.00,0,0
Harmeet Singh,1,0,0,0,0,0,0,0,0,0
RJ Harris,3,2,1,2,2,2.00,5,40.00,0,0
MC Henriques,10,9,5,165,44,41.25,125,132.00,0,0
BJ Hodge,17,14,7,293,54,41.85,218,134.40,0,1
GB Hogg,1,0,0,0,0,0,0,0,0,0
JO Holder,6,0,0,0,0,0,0,0,0,0
DJ Hussey,12,11,1,235,41,23.50,209,112.44,0,0
MEK Hussey,17,17,3,733,95,52.35,566,129.50,0,6
Iqbal Abdulla,5,2,2,8,6,0,14,57.14,0,0
RA Jadeja,18,14,6,201,38,25.12,135,148.88,0,0
KM Jadhav,12,10,3,152,31,21.71,124,122.58,0,0
DPMD Jayawardene,15,15,0,331,66,22.06,313,105.75,0,2
MG Johnson,17,6,2,39,11,9.75,36,108.33,0,0
MC Juneja,7,7,0,125,49,17.85,128,97.65,0,0
JH Kallis,16,16,1,311,41,20.73,322,96.58,0,0
KD Karthik,19,19,1,510,86,28.33,411,124.08,0,2
M Kartik,11,2,1,2,2,2.00,3,66.66,0,0
S Kaul,6,2,2,7,7,0,9,77.77,0,0
Z Khan,2,0,0,0,0,0,0,0,0,0
V Kohli,16,16,2,634,99,45.28,457,138.73,0,6
DS Kulkarni,6,0,0,0,0,0,0,0,0,0
B Kumar,16,9,2,52,24,7.42,71,73.23,0,0
P Kumar,15,7,1,47,24,7.83,39,120.51,0,0
B Laughlin,2,2,1,4,4,4.00,9,44.44,0,0
B Lee,3,2,1,21,16,21.00,12,175.00,0,0
BB McCullum,1,1,0,6,6,6.00,7,85.71,0,0
AB McDonald,1,1,0,0,0,0.00,2,0.00,0,0
R McLaren,2,2,0,3,2,1.50,6,50.00,0,0
VS Malik,3,0,0,0,0,0,0,0,0,0
SL Malinga,17,6,2,9,7,2.25,18,50.00,0,0
Mandeep Singh,16,14,1,260,77,20.00,223,116.59,0,1
M Manhas,3,2,2,13,11,0,17,76.47,0,0
MR Marsh,9,8,1,140,38,20.00,106,132.07,0,0
SE Marsh,8,8,0,300,77,37.50,249,120.48,0,3
AD Mascarenhas,1,1,1,5,5,0,5,100.00,0,0
AD Mathews,11,10,3,172,40,24.57,139,123.74,0,0
GJ Maxwell,3,3,1,36,23,18.00,27,133.33,0,0
AL Menaria,1,1,0,1,1,1.00,2,50.00,0,0
BAW Mendis,3,1,0,2,2,2.00,4,50.00,0,0
BMAJ Mendis,3,3,0,23,12,7.66,27,85.18,0,0
DA Miller,12,12,5,418,101,59.71,254,164.56,1,3
A Mishra,17,8,2,89,30,14.83,96,92.70,0,0
A Mithun,1,1,0,2,2,2.00,2,100.00,0,0
Mohammed Shami,3,1,0,5,5,5.00,10,50.00,0,0
EJG Morgan,14,13,2,307,51,27.90,240,127.91,0,1
JA Morkel,8,3,0,46,23,15.33,37,124.32,0,0
M Morkel,10,6,1,57,23,11.40,29,196.55,0,0
CH Morris,16,6,4,14,7,7.00,16,87.50,0,0
A Mukund,1,1,0,19,19,19.00,21,90.47,0,0
M Muralitharan,6,0,0,0,0,0,0,0,0,0
AG Murtaza,3,1,0,5,5,5.00,4,125.00,0,0
S Nadeem,12,6,1,14,6,2.80,27,51.85,0,0
KK Nair,2,2,0,9,9,4.50,12,75.00,0,0
DP Nannes,5,1,1,0,0,0,0,0,0,0
SP Narine,16,6,3,21,13,7.00,19,110.52,0,0
S Narwal,2,1,0,23,23,23.00,15,153.33,0,0
AM Nayar,11,9,3,66,25,11.00,73,90.41,0,0
P Negi,1,0,0,0,0,0,0,0,0,0
A Nehra,10,4,0,1,1,0.25,8,12.50,0,0
MG Neser,1,0,0,0,0,0,0,0,0,0
NV Ojha,2,2,1,9,9,9.00,10,90.00,0,0
PP Ojha,16,3,2,2,1,2.00,4,50.00,0,0
JDP Oram,1,0,0,0,0,0,0,0,0,0
IC Pandey,2,1,0,0,0,0.00,2,0.00,0,0
MK Pandey,7,7,1,136,66,22.66,137,99.27,0,1
WD Parnell,4,1,0,5,5,5.00,7,71.42,0,0
Parvez Rasool,2,2,1,5,4,5.00,9,55.55,0,0
MM Patel,4,1,1,0,0,0,0,0,0,0
PA Patel,13,13,0,294,61,22.61,255,115.29,0,1
IK Pathan,15,13,5,142,24,17.75,152,93.42,0,0
YK Pathan,16,16,5,332,72,30.18,240,138.33,0,1
MDKJ Perera,2,2,0,14,14,7.00,13,107.69,0,0
NLTC Perera,16,14,4,233,40,23.30,163,142.94,0,0
KA Pollard,18,18,8,420,66,42.00,281,149.46,0,3
LA Pomersbach,3,3,1,58,33,29.00,59,98.30,0,0
RT Ponting,6,5,0,52,28,10.40,75,69.33,0,0
CA Pujara,4,4,0,92,51,23.00,99,92.92,0,1
AM Rahane,18,18,4,488,68,34.85,458,106.55,0,4
KL Rahul,5,2,0,20,12,10.00,16,125.00,0,0
SK Raina,18,17,4,548,100,42.15,365,150.13,1,4
AS Rajpoot,2,1,1,2,2,0,6,33.33,0,0
R Rampaul,10,6,2,38,23,9.50,37,102.70,0,0
DB Ravi Teja,2,2,1,14,10,14.00,17,82.35,0,0
M Rawat,2,2,1,5,5,5.00,11,45.45,0,0
AT Rayudu,19,17,3,265,37,18.92,231,114.71,0,0
PA Reddy,7,7,0,91,27,13.00,101,90.09,0,0
KW Richardson,3,2,0,34,26,17.00,36,94.44,0,0
BJ Rohrer,8,8,2,193,64,32.16,140,137.85,0,1
AD Russell,3,2,0,11,7,5.50,14,78.57,0,0
Sachin Baby,4,1,0,3,3,3.00,7,42.85,0,0
WP Saha,3,3,0,70,39,23.33,56,125.00,0,0
BB Samantray,8,7,2,123,55,24.60,111,110.81,0,1
DJG Sammy,10,9,3,174,60,29.00,132,131.81,0,1
SV Samson,11,10,2,206,63,25.75,178,115.73,0,1
MN Samuels,2,2,0,8,5,4.00,18,44.44,0,0
Sandeep Sharma,4,1,1,0,0,0,1,0.00,0,0
KC Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0
PJ Sangwan,2,1,1,4,4,0,2,200.00,0,0
R Sathish,9,8,3,109,27,21.80,77,141.55,0,0
V Sehwag,13,13,1,295,95,24.58,233,126.60,0,1
SMSM Senanayake,8,4,3,10,7,10.00,17,58.82,0,0
OA Shah,2,2,0,25,24,12.50,23,108.69,0,0
I Sharma,16,2,2,0,0,0,0,0,0,0
KV Sharma,13,7,3,85,39,21.25,86,98.83,0,0
MM Sharma,15,2,1,0,0,0.00,5,0.00,0,0
R Sharma,11,6,2,11,10,2.75,17,64.70,0,0
RG Sharma,19,19,5,538,79,38.42,409,131.54,0,4
LR Shukla,4,2,0,3,2,1.50,12,25.00,0,0
R Shukla,3,1,1,1,1,0,2,50.00,0,0
RP Singh,11,0,0,0,0,0,0,0,0,0
DR Smith,13,13,0,418,68,32.15,341,122.58,0,4
SPD Smith,7,7,3,159,41,39.75,132,120.45,0,0
S Sreesanth,7,3,2,1,1,1.00,4,25.00,0,0
DW Steyn,17,8,6,53,18,26.50,36,147.22,0,0
TL Suman,7,5,0,52,23,10.40,58,89.65,0,0
P Suyal,1,0,0,0,0,0,0,0,0,0
J Syed Mohammad,4,2,0,10,9,5.00,13,76.92,0,0
SW Tait,3,1,0,1,1,1.00,3,33.33,0,0
PV Tambe,3,1,1,3,3,0,6,50.00,0,0
AP Tare,5,5,0,123,59,24.60,84,146.42,0,1
LRPL Taylor,5,5,0,63,19,12.60,76,82.89,0,0
RN ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0
SR Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1
X Thalaivan Sargunam,1,1,0,10,10,10.00,17,58.82,0,0
MK Tiwary,10,9,1,146,33,18.25,140,104.28,0,0
SS Tiwary,9,6,2,109,52,27.25,106,102.83,0,1
SK Trivedi,17,2,1,3,3,3.00,7,42.85,0,0
JD Unadkat,13,2,2,2,1,0,2,100.00,0,0
K Upadhyay,2,1,1,1,1,0,1,100.00,0,0
RV Uthappa,16,16,0,434,75,27.12,371,116.98,0,2
PC Valthaty,1,1,0,6,6,6.00,17,35.29,0,0
RE van der Merwe,3,2,0,22,14,11.00,25,88.00,0,0
Y Venugopal Rao,1,0,0,0,0,0,0,0,0,0
GH Vihari,17,17,3,241,46,17.21,278,86.69,0,0
M Vijay,15,15,1,312,55,22.28,286,109.09,0,2
R Vinay Kumar,16,5,4,70,26,70.00,44,159.09,0,0
M Vohra,12,10,2,161,43,20.12,117,137.60,0,0
DA Warner,16,16,3,410,77,31.53,323,126.93,0,4
SR Watson,16,16,2,543,101,38.78,380,142.89,1,2
CL White,13,13,1,209,52,17.41,191,109.42,0,1
LJ Wright,6,6,1,106,44,21.20,60,176.66,0,0
UT Yadav,16,8,7,38,12,38.00,38,100.00,0,0
DH Yagnik,12,9,1,125,34,15.62,96,130.20,0,0
Yuvraj Singh,13,13,1,238,34,19.83,190,125.26,0,0
