name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
P Amarnath,6,0,0,0,0,0,0,0,0,0
Abdur Razzak,1,1,1,0,0,0,2,0.00,0,0
AB Agarkar,9,6,1,54,20,10.80,46,117.39,0,0
B Akhil,7,7,4,46,27,15.33,31,148.38,0,0
S Anirudha,1,1,0,1,1,1.00,7,14.28,0,0
J Arunkumar,3,3,0,23,22,7.66,23,100.00,0,0
SA Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2
S Badrinath,16,11,5,192,64,32.00,130,147.69,0,2
L Balaji,9,1,0,0,0,0.00,4,0.00,0,0
SB Bangar,11,7,1,47,17,7.83,49,95.91,0,0
R Bhatia,9,3,1,34,17,17.00,28,121.42,0,0
MV Boucher,10,10,3,225,50,32.14,177,127.11,0,1
DJ Bravo,9,7,1,178,64,29.66,134,132.83,0,1
S Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0
PP Chawla,15,7,3,90,24,22.50,59,152.54,0,0
B Chipli,3,3,0,20,10,6.66,28,71.42,0,0
SD Chitnis,3,2,0,18,15,9.00,10,180.00,0,0
A Chopra,5,5,0,42,24,8.40,52,80.76,0,0
DB Das,6,6,0,103,31,17.16,94,109.57,0,0
H Das,1,1,0,2,2,2.00,5,40.00,0,0
AB de Villiers,6,6,1,95,26,19.00,98,96.93,0,0
P Dharmani,1,0,0,0,0,0,0,0,0,0
S Dhawan,14,14,5,340,68,37.77,295,115.25,0,4
MS Dhoni,16,14,4,414,65,41.40,310,133.54,0,2
TM Dilshan,7,7,1,104,33,17.33,79,131.64,0,0
AB Dinda,13,3,2,2,1,2.00,4,50.00,0,0
R Dravid,14,14,1,371,75,28.53,298,124.49,0,2
CRD Fernando,5,1,1,2,2,0,1,200.00,0,0
SP Fleming,10,10,1,196,45,21.77,165,118.78,0,0
Gagandeep Singh,4,0,0,0,0,0,0,0,0,0
G Gambhir,14,14,1,534,86,41.07,379,140.89,0,5
SC Ganguly,13,13,1,349,91,29.08,307,113.68,0,3
B Geeves,2,0,0,0,0,0,0,0,0,0
HH Gibbs,9,9,0,167,47,18.55,153,109.15,0,0
AC Gilchrist,14,14,1,436,109,33.53,318,137.10,1,3
K Goel,7,6,0,76,26,12.66,78,97.43,0,0
MS Gony,16,5,4,35,15,35.00,23,152.17,0,0
SP Goswami,4,3,0,82,52,27.33,85,96.47,0,1
Harbhajan Singh,3,3,1,30,28,15.00,17,176.47,0,0
ML Hayden,4,4,1,189,81,63.00,131,144.27,0,2
BJ Hodge,3,3,0,12,10,4.00,17,70.58,0,0
JR Hopes,11,11,0,221,71,20.09,148,149.32,0,2
