name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
DJ Hussey,13,13,2,319,71,29.00,259,123.16,0,2
MEK Hussey,4,3,1,168,116,84.00,100,168.00,1,0
Iqbal Abdulla,1,1,1,1,1,0,2,50.00,0,0
RA Jadeja,14,9,2,135,36,19.28,103,131.06,0,0
W Jaffer,6,6,0,115,50,19.16,104,110.57,0,1
ST Jayasuriya,14,14,2,514,114,42.83,309,166.34,1,2
DPMD Jayawardene,13,12,5,179,45,25.57,131,136.64,0,0
Joginder Sharma,8,3,1,16,16,8.00,11,145.45,0,0
SB Joshi,4,2,0,6,3,3.00,14,42.85,0,0
M Kaif,16,14,3,176,34,16.00,171,102.92,0,0
JH Kallis,11,11,0,199,54,18.09,183,108.74,0,1
D Kalyankrishna,3,1,0,3,3,3.00,8,37.50,0,0
Kamran Akmal,6,6,1,128,53,25.60,78,164.10,0,1
CK Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0
KD Karthik,13,8,2,145,56,24.16,107,135.51,0,1
M Kartik,6,3,0,30,17,10.00,27,111.11,0,0
SM Katich,2,2,1,96,75,96.00,69,139.13,0,1
U Kaul,5,1,1,0,0,0,1,0.00,0,0
Z Khan,11,8,4,34,17,8.50,43,79.06,0,0
MA Khote,4,3,1,24,9,12.00,22,109.09,0,0
T Kohli,2,2,0,10,7,5.00,15,66.66,0,0
V Kohli,13,12,1,165,38,15.00,157,105.09,0,0
DS Kulkarni,10,1,1,2,2,0,16,12.50,0,0
P Kumar,13,12,2,112,34,11.20,98,114.28,0,0
A Kumble,10,5,3,13,8,6.50,17,76.47,0,0
VVS Laxman,6,6,1,155,52,31.00,132,117.42,0,1
B Lee,4,3,2,17,16,17.00,13,130.76,0,0
DS Lehmann,2,2,0,18,17,9.00,18,100.00,0,0
BB McCullum,4,4,1,188,158,62.66,92,204.34,1,0
GD McGrath,14,3,2,4,4,4.00,5,80.00,0,0
MF Maharoof,10,8,2,125,39,20.83,79,158.22,0,0
VY Mahesh,11,5,3,15,6,7.50,27,55.55,0,0
M Manhas,1,0,0,0,0,0,0,0,0,0
SE Marsh,11,11,2,616,115,68.44,441,139.68,1,5
AD Mascarenhas,1,1,0,9,9,9.00,8,112.50,0,0
BAW Mendis,1,0,0,0,0,0,0,0,0,0
Misbah-ul-Haq,8,8,1,117,47,16.71,81,144.44,0,0
A Mishra,6,3,0,37,31,12.33,42,88.09,0,0
Mohammad Asif,8,2,0,3,3,1.50,6,50.00,0,0
Mohammad Hafeez,8,8,1,64,16,9.14,83,77.10,0,0
JA Morkel,13,10,3,241,71,34.42,163,147.85,0,1
WA Mota,4,2,1,26,25,26.00,27,96.29,0,0
A Mukund,2,1,0,0,0,0.00,1,0.00,0,0
M Muralitharan,15,1,0,0,0,0.00,3,0.00,0,0
AM Nayar,14,10,2,206,45,25.75,138,149.27,0,0
A Nehra,14,4,3,3,2,3.00,13,23.07,0,0
A Nel,1,1,0,0,0,0.00,0,0,0,0
AA Noffke,1,1,0,9,9,9.00,10,90.00,0,0
M Ntini,9,2,1,11,11,11.00,18,61.11,0,0
PP Ojha,13,4,2,2,1,1.00,4,50.00,0,0
JDP Oram,4,3,2,18,13,18.00,12,150.00,0,0
MK Pandey,3,2,0,3,3,1.50,9,33.33,0,0
Pankaj Singh,5,2,2,5,4,0,8,62.50,0,0
MM Patel,15,2,2,0,0,0,1,0.00,0,0
NK Patel,5,4,2,103,57,51.50,81,127.16,0,1
PA Patel,13,13,2,302,54,27.45,297,101.68,0,2
IK Pathan,14,10,4,131,40,21.83,116,112.93,0,0
YK Pathan,16,15,1,435,68,31.07,243,179.01,0,4
DT Patil,2,2,0,13,9,6.50,13,100.00,0,0
RV Pawar,1,0,0,0,0,0,0,0,0,0
SM Pollock,13,8,0,147,33,18.37,111,132.43,0,0
LA Pomersbach,5,5,4,152,79,152.00,99,153.53,0,1
RT Ponting,4,4,0,39,20,9.75,53,73.58,0,0
RR Powar,5,1,1,28,28,0,21,133.33,0,0
AM Rahane,2,2,0,4,4,2.00,17,23.52,0,0
SK Raina,16,14,3,421,55,38.27,295,142.71,0,3
RR Raje,6,3,3,8,6,0,9,88.88,0,0
DB Ravi Teja,7,6,0,109,40,18.16,82,132.92,0,0
M Rawat,11,7,3,34,23,8.50,39,87.17,0,0
L Ronchi,4,4,0,34,13,8.50,32,106.25,0,0
WP Saha,12,10,5,159,59,31.80,119,133.61,0,1
Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1
D Salunkhe,6,3,1,33,26,16.50,24,137.50,0,0
KC Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4
PJ Sangwan,7,2,0,2,2,1.00,5,40.00,0,0
PM Sarvesh Kumar,2,1,1,1,1,0,2,50.00,0,0
RR Sarwan,4,4,0,73,31,18.25,75,97.33,0,0
V Sehwag,14,14,2,406,94,33.83,220,184.54,0,3
PR Shah,5,4,0,34,19,8.50,35,97.14,0,0
Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0
I Sharma,13,6,5,11,4,11.00,11,100.00,0,0
RG Sharma,13,12,1,404,76,36.72,273,147.98,0,4
Shoaib Akhtar,3,1,0,2,2,2.00,7,28.57,0,0
Shoaib Malik,7,5,1,52,24,13.00,47,110.63,0,0
LR Shukla,13,12,4,163,42,20.37,122,133.60,0,0
LPC Silva,3,3,1,40,23,20.00,26,153.84,0,0
RP Singh,14,9,5,27,10,6.75,24,112.50,0,0
VRV Singh,13,2,0,4,4,2.00,3,133.33,0,0
DR Smith,4,3,0,45,20,15.00,40,112.50,0,0
GC Smith,11,11,2,441,91,49.00,362,121.82,0,3
Sohail Tanvir,11,5,2,36,13,12.00,29,124.13,0,0
S Sohal,2,2,0,4,4,2.00,8,50.00,0,0
S Sreesanth,15,3,2,0,0,0.00,3,0.00,0,0
TM Srivastava,5,2,1,8,7,8.00,10,80.00,0,0
DW Steyn,10,2,1,2,1,2.00,5,40.00,0,0
SB Styris,8,8,2,112,36,18.66,123,91.05,0,0
A Symonds,4,3,1,161,117,80.50,105,153.33,1,0
T Taibu,3,3,0,31,15,10.33,26,119.23,0,0
YV Takawale,7,4,2,70,27,35.00,65,107.69,0,0
LRPL Taylor,4,4,0,149,53,37.25,81,183.95,0,1
SR Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1
DJ Thornely,6,4,2,39,30,19.50,53,73.58,0,0
MK Tiwary,9,7,3,104,39,26.00,85,122.35,0,0
SS Tiwary,3,2,0,26,17,13.00,20,130.00,0,0
SK Trivedi,15,3,2,5,3,5.00,12,41.66,0,0
Umar Gul,6,4,1,39,24,13.00,19,205.26,0,0
RV Uthappa,14,14,5,320,48,35.55,279,114.69,0,0
WPUJC Vaas,5,4,1,21,12,7.00,18,116.66,0,0
Y Venugopal Rao,11,10,2,288,71,36.00,210,137.14,0,2
DL Vettori,2,0,0,0,0,0,0,0,0,0
S Vidyut,9,8,0,145,54,18.12,109,133.02,0,1
DP Vijaykumar,9,2,2,1,1,0,1,100.00,0,0
R Vinay Kumar,8,4,1,25,23,8.33,22,113.63,0,0
SK Warne,15,7,2,70,22,14.00,59,118.64,0,0
SR Watson,15,15,5,472,76,47.20,311,151.76,0,4
CL White,8,8,1,114,31,16.28,102,111.76,0,0
AS Yadav,8,6,1,49,16,9.80,39,125.64,0,0
VS Yeligati,2,1,0,2,2,2.00,2,100.00,0,0
Younis Khan,1,1,0,3,3,3.00,7,42.85,0,0
Yuvraj Singh,15,14,1,299,57,23.00,184,162.50,0,1
DNT Zoysa,3,2,1,11,10,11.00,9,122.22,0,0
