name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
YA Abdulla,9,0,0,0,0,0,0,0,0,0
AB Agarkar,11,7,5,66,39,33.00,57,115.78,0,0
B Akhil,6,3,1,17,9,8.50,15,113.33,0,0
Anureet Singh,3,0,0,0,0,0,0,0,0,0
KP Appanna,5,1,1,0,0,0,1,0.00,0,0
R Ashwin,2,1,0,8,8,8.00,15,53.33,0,0
SA Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0
S Badrinath,14,11,2,177,59,19.66,164,107.92,0,1
GJ Bailey,3,2,0,45,30,22.50,39,115.38,0,0
L Balaji,13,4,1,4,2,1.33,10,40.00,0,0
SB Bangar,1,1,0,2,2,2.00,9,22.22,0,0
R Bhatia,8,5,0,8,4,1.60,18,44.44,0,0
AA Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0
R Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0
RS Bopara,5,5,0,138,84,27.60,119,115.96,0,1
RR Bose,1,0,0,0,0,0,0,0,0,0
J Botha,3,3,1,47,37,23.50,40,117.50,0,0
MV Boucher,12,9,4,150,48,30.00,116,129.31,0,0
DJ Bravo,11,10,2,218,70,27.25,203,107.38,0,2
LA Carseldine,5,5,1,81,39,20.25,68,119.11,0,0
PP Chawla,14,10,5,31,8,6.20,36,86.11,0,0
SD Chitnis,1,1,0,6,6,6.00,8,75.00,0,0
A Chopra,2,1,0,11,11,11.00,19,57.89,0,0
AB de Villiers,15,13,4,465,105,51.66,355,130.98,1,3
S Dhawan,5,4,0,40,22,10.00,45,88.88,0,0
MS Dhoni,14,13,5,332,58,41.50,261,127.20,0,2
TM Dilshan,14,13,3,418,67,41.80,341,122.58,0,4
AB Dinda,9,2,0,2,2,1.00,3,66.66,0,0
R Dravid,13,12,0,271,66,22.58,234,115.81,0,1
JP Duminy,13,12,3,372,62,41.33,325,114.46,0,5
D du Preez,2,1,0,10,10,10.00,13,76.92,0,0
FH Edwards,6,2,1,4,3,4.00,5,80.00,0,0
A Flintoff,3,3,1,62,24,31.00,53,116.98,0,0
G Gambhir,15,15,2,286,71,22.00,278,102.87,0,1
SC Ganguly,13,11,0,189,46,17.18,207,91.30,0,0
CH Gayle,7,7,1,171,44,28.50,143,119.58,0,0
AN Ghosh,2,2,0,7,7,3.50,8,87.50,0,0
HH Gibbs,14,14,3,371,69,33.72,331,112.08,0,4
AC Gilchrist,16,16,0,495,85,30.93,325,152.30,0,3
K Goel,9,9,1,124,38,15.50,133,93.23,0,0
MS Gony,7,3,1,13,7,6.50,7,185.71,0,0
SP Goswami,2,2,0,53,43,26.50,60,88.33,0,0
Harbhajan Singh,13,10,2,84,20,10.50,53,158.49,0,0
Harmeet Singh,7,0,0,0,0,0,0,0,0,0
RJ Harris,8,5,4,21,9,21.00,18,116.66,0,0
SM Harwood,3,2,2,9,6,0,14,64.28,0,0
ML Hayden,12,12,1,572,89,52.00,395,144.81,0,5
T Henderson,2,2,0,11,11,5.50,16,68.75,0,0
MC Henriques,4,3,1,38,30,19.00,40,95.00,0,0
BJ Hodge,12,12,3,365,73,40.55,310,117.74,0,3
DJ Hussey,4,4,0,98,43,24.50,59,166.10,0,0
RA Jadeja,13,13,2,295,42,26.81,266,110.90,0,0
W Jaffer,2,2,0,15,8,7.50,17,88.23,0,0
SB Jakati,9,2,1,20,13,20.00,15,133.33,0,0
Jaskaran Singh,2,1,1,0,0,0,0,0,0,0
ST Jayasuriya,12,12,0,221,52,18.41,192,115.10,0,2
DPMD Jayawardene,10,10,4,219,52,36.50,165,132.72,0,1
Joginder Sharma,4,2,1,20,16,20.00,18,111.11,0,0
JH Kallis,15,15,2,361,69,27.76,332,108.73,0,3
Kamran Khan,5,1,0,3,3,3.00,5,60.00,0,0
KD Karthik,15,13,5,288,52,36.00,217,132.71,0,1
M Kartik,10,2,2,21,11,0,20,105.00,0,0
SM Katich,9,9,0,145,50,16.11,117,123.93,0,1
Z Khan,6,4,3,8,4,8.00,11,72.72,0,0
T Kohli,2,2,1,1,1,1.00,4,25.00,0,0
V Kohli,16,13,2,246,50,22.36,219,112.32,0,1
DS Kulkarni,8,4,2,9,7,4.50,17,52.94,0,0
P Kumar,13,8,3,65,14,13.00,46,141.30,0,0
A Kumble,16,7,6,16,7,16.00,19,84.21,0,0
CK Langeveldt,1,0,0,0,0,0,0,0,0,0
VVS Laxman,5,5,0,19,10,3.80,33,57.57,0,0
B Lee,5,4,2,28,14,14.00,34,82.35,0,0
BB McCullum,13,13,1,285,84,23.75,239,119.24,0,2
AB McDonald,1,1,0,3,3,3.00,4,75.00,0,0
MF Maharoof,3,2,1,21,18,21.00,21,100.00,0,0
VY Mahesh,1,0,0,0,0,0,0,0,0,0
VS Malik,5,0,0,0,0,0,0,0,0,0
SL Malinga,13,3,1,0,0,0.00,1,0.00,0,0
M Manhas,10,6,3,75,26,25.00,62,120.96,0,0
AD Mascarenhas,5,4,0,39,27,9.75,39,100.00,0,0
Mashrafe Mortaza,1,1,1,2,2,0,2,100.00,0,0
AD Mathews,1,1,0,16,16,16.00,13,123.07,0,0
BAW Mendis,4,1,0,0,0,0.00,1,0.00,0,0
A Mishra,11,5,2,26,13,8.66,20,130.00,0,0
A Mithun,1,0,0,0,0,0,0,0,0,0
Mohammad Ashraful,1,1,0,2,2,2.00,10,20.00,0,0
JA Morkel,12,10,6,97,21,24.25,70,138.57,0,0
M Morkel,2,1,0,8,8,8.00,8,100.00,0,0
WA Mota,8,6,1,30,12,6.00,48,62.50,0,0
M Muralitharan,13,4,2,8,4,4.00,8,100.00,0,0
Y Nagar,1,1,0,20,20,20.00,20,100.00,0,0
C Nanda,3,1,0,0,0,0.00,1,0.00,0,0
DP Nannes,13,0,0,0,0,0,0,0,0,0
GR Napier,1,1,0,15,15,15.00,16,93.75,0,0
AM Nayar,13,11,2,193,35,21.44,152,126.97,0,0
A Nehra,13,2,2,1,1,0,1,100.00,0,0
NV Ojha,8,8,1,168,68,24.00,144,116.66,0,2
PP Ojha,15,4,1,1,1,0.33,7,14.28,0,0
JDP Oram,11,8,2,88,41,14.66,93,94.62,0,0
MK Pandey,5,4,2,168,114,84.00,118,142.37,1,0
Pankaj Singh,3,2,1,1,1,1.00,2,50.00,0,0
MM Patel,11,5,2,33,23,11.00,26,126.92,0,0
NK Patel,4,2,0,18,14,9.00,38,47.36,0,0
PA Patel,9,9,0,142,36,15.77,126,112.69,0,0
IK Pathan,14,12,2,196,39,19.60,158,124.05,0,0
YK Pathan,13,13,1,243,62,20.25,183,132.78,0,1
KP Pietersen,6,6,0,93,37,15.50,85,109.41,0,0
LA Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0
RR Powar,9,4,3,23,10,23.00,22,104.54,0,0
RJ Quiney,7,7,0,103,51,14.71,102,100.98,0,1
AM Rahane,8,7,1,144,62,24.00,123,117.07,0,2
SK Raina,14,14,0,434,98,31.00,308,140.90,0,2
RR Raje,4,2,1,12,11,12.00,9,133.33,0,0
AS Raut,9,7,3,78,36,19.50,61,127.86,0,0
DB Ravi Teja,9,6,3,65,27,21.66,70,92.85,0,0
M Rawat,5,3,3,16,8,0,19,84.21,0,0
L Ronchi,1,1,0,0,0,0.00,2,0.00,0,0
JD Ryder,5,5,0,56,32,11.20,49,114.28,0,0
WP Saha,8,7,4,72,25,24.00,41,175.60,0,0
AM Salvi,5,0,0,0,0,0,0,0,0,0
KC Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2
PJ Sangwan,13,5,4,6,5,6.00,10,60.00,0,0
SS Sarkar,2,0,0,0,0,0,0,0,0,0
V Sehwag,11,11,1,198,50,19.80,138,143.47,0,1
PR Shah,9,5,2,53,29,17.66,51,103.92,0,0
RA Shaikh,1,0,0,0,0,0,0,0,0,0
SS Shaikh,2,1,0,6,6,6.00,7,85.71,0,0
I Sharma,11,3,1,16,9,8.00,13,123.07,0,0
KV Sharma,1,1,0,1,1,1.00,3,33.33,0,0
RG Sharma,16,16,3,362,52,27.84,315,114.92,0,1
Shoaib Ahmed,8,3,1,1,1,0.50,6,16.66,0,0
LR Shukla,9,6,1,83,48,16.60,85,97.64,0,0
RP Singh,16,6,2,8,4,2.00,17,47.05,0,0
VRV Singh,5,0,0,0,0,0,0,0,0,0
A Singh,5,2,1,1,1,1.00,3,33.33,0,0
DR Smith,8,8,0,215,49,26.87,132,162.87,0,0
GC Smith,12,12,1,212,77,19.27,216,98.14,0,1
S Sohal,8,8,0,115,43,14.37,93,123.65,0,0
S Sreesanth,7,2,2,5,4,0,18,27.77,0,0
TM Srivastava,2,1,1,0,0,0,1,0.00,0,0
DW Steyn,3,2,1,0,0,0.00,3,0.00,0,0
SB Styris,2,1,0,14,14,14.00,8,175.00,0,0
TL Suman,12,12,2,237,41,23.70,190,124.73,0,0
A Symonds,8,8,1,249,60,35.57,166,150.00,0,1
YV Takawale,4,1,0,18,18,18.00,22,81.81,0,0
LRPL Taylor,11,11,2,280,81,31.11,208,134.61,0,1
SR Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2
T Thushara,2,2,1,2,1,2.00,7,28.57,0,0
MK Tiwary,2,1,0,9,9,9.00,13,69.23,0,0
SS Tiwary,4,3,2,13,6,13.00,12,108.33,0,0
SK Trivedi,7,3,1,9,6,4.50,18,50.00,0,0
S Tyagi,8,2,1,0,0,0.00,0,0,0,0
RV Uthappa,15,13,2,175,66,15.90,170,102.94,0,1
WPUJC Vaas,2,2,1,30,20,30.00,21,142.85,0,0
PC Valthaty,2,2,0,6,5,3.00,12,50.00,0,0
RE van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0
MN van Wyk,5,5,2,167,74,55.66,132,126.51,0,1
Y Venugopal Rao,16,13,2,124,32,11.27,114,108.77,0,0
DL Vettori,7,4,2,34,29,17.00,32,106.25,0,0
M Vijay,4,4,0,60,31,15.00,67,89.55,0,0
R Vinay Kumar,11,8,3,47,12,9.40,44,106.81,0,0
SK Warne,13,11,3,108,34,13.50,116,93.10,0,0
DA Warner,7,7,0,163,51,23.28,132,123.48,0,1
Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0
Yuvraj Singh,14,14,2,340,58,28.33,294,115.64,0,2
